TIPO;NUMERO DE ESTACION;DIA INICIO/MES INICIO/AÑO INICIO;HORA INICIO:MINUTO INICIO;NUMERO DE MEZCLA;NUMERO DE PREMEZCLA;NUMERO DE BATCH;NUMERO RECETA;PESADA DE CORCHO;MINUTOS PESADA;PESADA D.U;TIEMPO VACIADO (1):TIEMPO VACIADO (2);TIEMPO INYECCION AGUA (s);PESADA INYECCION AGUA;TIEMPO MEZCLA AGUA;TIEMPO INYECCION COLA;PESADA INYECCION COLA;TIEMPO MEZCLA COLA;TIEMPO VACIADO MEZC. MED(1):TIEMPO VACIADO MEZC. MED(2);MOLDE INICIAL EXT1;MOLDE FINAL EXT1;NOMBRE RECETA;MOLDE INICIAL EXT2;MOLDE FINAL EXT2;TAPONES BUENOS G1;TAPONES MALOS G1;TIEMPO EXTRACC. G1 (1):TIEMPO EXTRACC. G1 (2);TAPONES BUENOS G2;TAPONES MALOS G2;TIEMPO EXTRACC. G2 (1):TIEMPO EXTRACC. G2 (2);TAPONES BUENOS DESC G1;TAPONES BUENOS DESC G2;
202;12;8/9/22;20:25;63;12;188;44;55830;398;3127;20:58;116;1701;4;705;27922;705;21:14;172;56;DIB;174;58;5456;0;15:27;5456;0;15;27;5236;5368;
202;12;8/9/22;20:25;63;12;188;44;55830;398;3127;20:58;116;1701;4;705;27922;705;21:14;172;56;DIB;174;58;5456;0;15:27;5456;0;15;27;5236;5368;
202;12;8/9/22;21:0;64;12;188;44;55867;414;3129;21:16;116;1701;4;1066;27942;1066;21:38;109;171;DIB;109;174;2552;352;16:19;2816;484;16;19;2552;2816;
202;12;9/9/22;16:7;2;12;188;44;49622;413;2829;16:18;94;1520;26;385;24812;385;16:27;65;153;DIB;66;153;3916;0;17:35;3872;0;17;35;0;0;
202;12;9/9/22;16:7;2;12;188;44;49622;413;2829;16:18;94;1520;26;385;24812;385;16:27;65;153;DIB;66;153;3916;0;17:35;3872;0;17;35;0;0;
202;12;9/9/22;16:19;3;12;188;44;49876;368;2843;16:30;94;1526;26;441;24945;441;16:40;154;20;DIB;154;20;4576;0;17:57;4576;0;17;57;44;44;
202;12;9/9/22;16:31;4;12;188;44;49997;375;2850;16:42;94;1527;26;407;25007;1635;17:16;21;163;DIB;21;164;5368;220;18:27;5588;352;18;27;1144;1144;
202;12;9/9/22;16:44;5;12;188;44;50001;474;2801;17:19;94;1529;26;364;25007;518;17:38;166;6;DIB;166;6;3520;0;18:39;3520;0;18;39;88;132;
202;12;9/9/22;17:21;6;12;188;44;49863;410;2843;17:41;93;1522;27;415;24935;415;17:51;7;105;DIB;7;105;4356;0;18:53;4356;0;18;53;0;0;
202;12;9/9/22;17:43;7;12;188;44;49876;375;2794;17:54;104;1523;16;419;24945;419;18:10;106;215;DIB;106;215;4840;0;19:9;4840;0;19;9;0;0;
202;12;9/9/22;17:55;8;12;188;44;49851;372;2792;18:12;105;1525;15;447;24925;447;18:35;216;83;DIB;216;83;4708;0;19:24;4708;0;19;24;0;0;
202;12;9/9/22;18:13;9;12;188;44;49764;378;2787;18:38;104;1517;16;425;24884;425;18:51;84;184;DIB;84;184;4444;0;19:38;4444;0;19;38;0;0;
202;12;9/9/22;18:39;10;12;188;44;49934;368;2847;18:53;105;1527;15;353;24976;367;19:5;185;54;DIB;185;54;4796;0;19:54;4796;0;19;54;0;0;
202;12;9/9/22;18:55;11;12;188;44;50129;379;2808;19:8;105;1528;15;379;25068;379;19:21;55;160;DIB;55;160;4664;0;20:9;4664;0;20;9;0;0;
202;12;9/9/22;19:9;12;12;188;44;49849;523;2842;19:23;104;1522;16;347;24925;361;19:36;161;27;DIB;161;27;4664;0;20:24;4664;0;20;24;0;0;
202;12;9/9/22;19:25;13;12;188;44;50050;380;2853;19:38;104;1529;16;346;25027;346;19:51;28;141;DIB;28;141;5016;0;20:40;5016;0;20;40;0;0;
202;12;9/9/22;19:40;14;12;188;44;49973;369;2799;19:53;104;1527;16;395;24986;395;20:7;142;11;DIB;142;11;4752;44;20:56;4752;44;20;56;0;0;
202;12;9/9/22;19:55;15;12;188;44;49940;390;2847;20:10;104;1522;16;415;24976;415;20:23;11;113;DIB;11;113;4488;0;21:10;4532;0;21;10;0;0;
202;12;9/9/22;20:27;17;12;188;44;50149;410;2809;20:40;105;1532;15;434;25078;434;20:54;230;99;DIB;230;99;4752;0;21:43;4752;44;21;43;0;0;
202;12;9/9/22;20:41;18;12;188;44;50016;382;2801;20:56;104;1530;16;432;25017;432;21:9;99;203;DIB;99;203;4576;0;21:58;4576;44;21;58;0;0;
202;12;9/9/22;20:58;19;12;188;44;54958;410;3078;21:12;113;1673;7;456;27482;456;21:25;203;93;DIB;203;93;5720;65492;22:17;5720;0;22;17;0;0;
202;12;9/9/22;21:13;20;12;188;44;54863;418;3128;21:28;114;1675;6;478;27431;478;21:43;94;221;DIB;94;221;5632;0;22:35;5632;0;22;35;0;0;
202;12;9/9/22;21:29;21;12;188;44;54733;419;3066;21:46;114;1673;6;524;27369;524;22:2;222;94;DIB;222;94;4928;0;22:52;4928;0;22;52;0;0;
202;12;9/9/22;21:48;22;12;188;44;55043;458;3083;22:4;113;1679;7;460;27523;460;22:18;95;222;DIB;95;222;5632;0;23:10;5632;0;23;10;0;0;
202;12;9/9/22;22:6;23;12;188;44;54852;412;3072;22:20;113;1671;7;494;27431;494;22:36;223;101;DIB;223;101;5192;0;23:27;5192;0;23;27;0;0;
