TIPO;NUMERO DE ESTACION;DIA INICIO/MES INICIO/AÑO INICIO;HORA INICIO:MINUTO INICIO;NUMERO DE MEZCLA;NUMERO DE PREMEZCLA;NUMERO DE BATCH;NUMERO RECETA;PESADA DE CORCHO;MINUTOS PESADA;PESADA D.U;TIEMPO VACIADO (1):TIEMPO VACIADO (2);TIEMPO INYECCION AGUA (s);PESADA INYECCION AGUA;TIEMPO MEZCLA AGUA;TIEMPO INYECCION COLA;PESADA INYECCION COLA;TIEMPO MEZCLA COLA;TIEMPO VACIADO MEZC. MED(1):TIEMPO VACIADO MEZC. MED(2);MOLDE INICIAL EXT1;MOLDE FINAL EXT1;NOMBRE RECETA;MOLDE INICIAL EXT2;MOLDE FINAL EXT2;TAPONES BUENOS G1;TAPONES MALOS G1;TIEMPO EXTRACC. G1 (1):TIEMPO EXTRACC. G1 (2);TAPONES BUENOS G2;TAPONES MALOS G2;TIEMPO EXTRACC. G2 (1):TIEMPO EXTRACC. G2 (2);TAPONES BUENOS DESC G1;TAPONES BUENOS DESC G2;
202;12;29/6/22;16:56;2;12;122;41;64730;639;4273;17:10;23;716;37;301;20721;350;17:25;135;236;DIA;135;236;4444;44;18:17;4444;44;18;17;0;0;
202;12;29/6/22;17:12;3;12;122;41;65223;651;4305;17:28;24;717;36;273;20875;400;17:41;236;119;DIA;236;119;5368;65492;18:35;5412;0;18;35;0;0;
202;12;29/6/22;17:30;4;12;122;41;65455;661;4321;17:45;24;721;36;233;20946;400;18:0;121;5;DIA;120;5;5456;0;18:54;5500;0;18;54;0;0;
202;12;29/6/22;17:47;5;12;122;41;65399;636;4252;18:2;24;719;36;199;20936;400;18:19;6;130;DIA;6;130;5412;0;19:13;5500;0;19;13;0;0;
202;12;29/6/22;18:4;6;12;122;41;65209;636;4239;18:21;23;719;37;189;20875;400;18:38;131;16;DIA;131;16;5500;0;19:32;5500;0;19;32;0;0;
202;12;29/6/22;18:23;7;12;122;41;65249;639;4242;18:40;23;720;37;199;20885;400;18:57;17;142;DIA;17;142;5456;0;19:51;5544;0;19;51;0;0;
202;12;29/6/22;18:42;8;12;122;41;64959;636;4223;18:59;24;719;36;211;20793;400;19:16;143;27;DIA;143;27;5456;0;20:10;5456;0;20;9;0;0;
202;12;29/6/22;19:1;9;12;122;41;65300;730;4245;19:18;23;728;37;191;20905;400;19:34;28;158;DIA;28;158;5632;44;20:29;5764;0;20;29;0;0;
202;12;29/6/22;19:20;10;12;122;41;65188;637;4238;19:37;23;719;37;196;20864;400;19:54;158;48;DIA;159;48;5676;0;20:49;5632;44;20;48;0;0;
202;12;29/6/22;19:39;11;12;122;41;65365;719;4249;19:56;23;722;37;199;20916;400;20:13;48;178;DIA;48;178;5632;0;21:8;5720;44;21;8;0;0;
202;12;29/6/22;19:58;12;12;122;41;65113;641;4298;20:16;23;716;37;208;20844;400;20:33;178;68;DIA;178;68;5676;65492;21:28;5720;0;21;27;0;0;
202;12;29/6/22;20:18;13;12;122;41;64929;639;4286;20:35;23;723;37;198;20783;400;20:52;69;197;DIA;69;197;5588;44;21:47;5632;44;21;47;0;0;
202;12;29/6/22;20:37;14;12;122;41;65234;710;4306;20:55;24;727;36;203;20875;400;21:12;197;86;DIA;197;86;5588;0;22:6;5632;44;22;6;0;0;
202;12;29/6/22;20:57;15;12;122;41;65218;634;4240;21:14;23;716;37;203;20875;400;21:31;86;213;DIA;86;213;5544;0;22:25;5588;44;22;25;0;0;
202;12;29/6/22;21:16;16;12;122;41;65237;710;4306;21:33;23;718;37;209;20875;400;21:50;213;99;DIA;213;99;5500;65492;22:44;5544;0;22;44;0;0;
202;12;29/6/22;21:35;17;12;122;41;64977;633;4289;21:53;23;723;37;208;20793;400;22:9;100;224;DIA;100;224;5456;0;23:3;5500;0;23;3;0;0;
202;12;29/6/22;21:55;18;12;122;41;65352;716;4314;22:11;23;718;37;231;20916;400;22:28;225;112;DIA;225;112;5544;0;23:22;5588;0;23;22;0;0;
202;12;29/6/22;22:13;19;12;122;41;65060;628;4229;22:30;23;717;37;296;20824;400;22:47;113;236;DIA;113;236;5412;0;23:41;5456;0;23;41;0;0;
