TIPO;NUMERO DE ESTACION;DIA INICIO/MES INICIO/AÑO INICIO;HORA INICIO:MINUTO INICIO;NUMERO DE MEZCLA;NUMERO DE PREMEZCLA;NUMERO DE BATCH;NUMERO RECETA;PESADA DE CORCHO;MINUTOS PESADA;PESADA D.U;TIEMPO VACIADO (1):TIEMPO VACIADO (2);TIEMPO INYECCION AGUA (s);PESADA INYECCION AGUA;TIEMPO MEZCLA AGUA;TIEMPO INYECCION COLA;PESADA INYECCION COLA;TIEMPO MEZCLA COLA;TIEMPO VACIADO MEZC. MED(1):TIEMPO VACIADO MEZC. MED(2);MOLDE INICIAL EXT1;MOLDE FINAL EXT1;NOMBRE RECETA;MOLDE INICIAL EXT2;MOLDE FINAL EXT2;TAPONES BUENOS G1;TAPONES MALOS G1;TIEMPO EXTRACC. G1 (1):TIEMPO EXTRACC. G1 (2);TAPONES BUENOS G2;TAPONES MALOS G2;TIEMPO EXTRACC. G2 (1):TIEMPO EXTRACC. G2 (2);TAPONES BUENOS DESC G1;TAPONES BUENOS DESC G2;
202;12;2/7/22;22:39;73;12;123;40;70272;650;4287;22:55;50;1683;10;167;16170;424;23:12;180;69;DIX;180;69;5632;0;0:7;5676;0;0;7;0;0;
202;12;2/7/22;22:57;74;12;123;40;70014;667;4271;23:14;49;1681;11;164;16108;438;23:31;70;200;DIX;70;200;5720;0;0:27;5764;0;0;27;0;0;
202;12;2/7/22;23:16;75;12;123;40;70142;652;4279;23:34;49;1675;11;167;16139;445;23:51;201;91;DIX;201;91;5676;0;0:46;5720;0;0;46;0;0;
202;12;2/7/22;23:36;76;12;123;40;70449;667;4298;23:54;44;1474;16;178;16211;453;0:11;92;221;DIX;92;221;5676;0;1:6;5720;0;1;6;0;0;
202;12;3/7/22;0:16;1;12;123;40;70311;692;4289;0:33;43;1476;17;164;16180;459;0:51;114;1;DIX;114;1;5544;65492;1:45;5588;0;1;45;0;0;
202;12;3/7/22;0:35;2;12;123;40;70344;665;4221;0:53;44;1475;16;168;16180;452;1:10;2;130;DIX;2;130;5588;0;2:5;5676;0;2;5;0;0;
202;12;3/7/22;3:57;6;12;123;40;70534;774;4303;4:14;43;1481;17;199;16231;300;4:29;181;42;DIX;180;42;4444;0;5:20;4488;0;5;19;0;0;
202;12;3/7/22;4:16;7;12;123;40;70179;658;4281;4:32;43;1468;17;176;16149;477;4:44;43;169;DIX;43;168;5456;44;5:39;5544;0;5;38;0;0;
202;12;3/7/22;4:34;8;12;123;40;67759;688;4134;4:49;42;1419;18;184;15587;439;5:3;169;49;DIX;169;49;5236;0;5:57;5236;44;5;57;0;0;
202;12;3/7/22;4:51;9;12;123;40;70359;644;4292;5:6;43;1472;17;188;16190;422;5:21;49;175;DIX;49;175;5456;0;6:16;5544;44;6;16;0;0;
202;12;3/7/22;5:9;10;12;123;40;70369;648;4293;5:24;43;1470;17;202;16190;445;5:40;175;60;DIX;175;60;5456;65492;6:35;5500;0;6;35;0;0;
202;12;3/7/22;5:26;11;12;123;40;70316;643;4219;5:43;43;1470;17;194;16180;453;5:59;61;184;DIX;61;184;5412;0;6:54;5456;0;6;53;0;0;
202;12;3/7/22;5:45;12;12;123;40;70635;732;4309;6:2;43;1479;17;219;16252;451;6:18;185;65;DIX;185;65;5236;0;7:12;5280;0;7;12;0;0;
202;12;3/7/22;6:4;13;12;123;40;70360;630;4292;6:21;43;1478;17;208;16190;419;6:36;66;188;DIX;66;188;5324;44;7:30;5368;44;7;30;0;0;
202;12;3/7/22;6:23;14;12;123;40;70534;635;4233;6:39;44;1483;16;243;16231;414;6:55;188;69;DIX;188;69;5280;65492;7:49;5324;0;7;48;0;0;
202;12;3/7/22;6:41;15;12;123;40;70460;614;4299;6:57;44;1481;16;270;16211;429;7:13;70;189;DIX;70;189;5236;0;8:7;5280;0;8;7;0;0;
202;12;3/7/22;6:59;16;12;123;40;70367;603;4223;7:16;44;1485;16;217;16190;435;7:31;190;68;DIX;190;68;5148;0;8:25;5192;0;8;25;0;0;
202;12;3/7/22;7:18;17;12;123;40;70447;607;4227;7:34;43;1479;17;204;16211;425;7:49;69;187;DIX;69;187;5192;0;8:43;5236;0;8;43;0;0;
202;12;3/7/22;7:36;18;12;123;40;70492;640;4230;7:52;43;1473;17;215;16221;417;8:7;188;66;DIX;188;66;5148;0;9:1;5192;0;9;1;0;0;
202;12;3/7/22;7:54;19;12;123;40;70284;604;4288;8:10;43;1473;17;209;16170;436;8:25;67;184;DIX;67;184;5148;0;9:19;5192;0;9;18;0;0;
202;12;3/7/22;8:12;20;12;123;40;70454;611;4228;8:28;44;1479;16;264;16211;420;8:43;185;64;DIX;185;64;5192;0;9:37;5236;0;9;36;0;0;
202;12;3/7/22;8:30;21;12;123;40;70454;640;4228;8:46;44;1478;16;247;16211;427;9:1;65;189;DIX;65;189;5412;44;9:55;5500;0;9;55;0;0;
202;12;3/7/22;8:48;22;12;123;40;70333;750;4291;9:5;44;1477;16;215;16180;435;9:20;189;78;DIX;190;78;5588;0;10:15;5632;0;10;15;0;0;
202;12;3/7/22;9:7;23;12;123;40;70098;638;4277;9:23;53;1818;7;250;16129;467;9:39;78;210;DIX;79;210;5764;0;10:35;5764;44;10;35;0;0;
