TIPO;NUMERO DE ESTACION;DIA INICIO/MES INICIO/AÑO INICIO;HORA INICIO:MINUTO INICIO;NUMERO DE MEZCLA;NUMERO DE PREMEZCLA;NUMERO DE BATCH;NUMERO RECETA;PESADA DE CORCHO;MINUTOS PESADA;PESADA D.U;TIEMPO VACIADO (1):TIEMPO VACIADO (2);TIEMPO INYECCION AGUA (s);PESADA INYECCION AGUA;TIEMPO MEZCLA AGUA;TIEMPO INYECCION COLA;PESADA INYECCION COLA;TIEMPO MEZCLA COLA;TIEMPO VACIADO MEZC. MED(1):TIEMPO VACIADO MEZC. MED(2);MOLDE INICIAL EXT1;MOLDE FINAL EXT1;NOMBRE RECETA;MOLDE INICIAL EXT2;MOLDE FINAL EXT2;TAPONES BUENOS G1;TAPONES MALOS G1;TIEMPO EXTRACC. G1 (1):TIEMPO EXTRACC. G1 (2);TAPONES BUENOS G2;TAPONES MALOS G2;TIEMPO EXTRACC. G2 (1):TIEMPO EXTRACC. G2 (2);TAPONES BUENOS DESC G1;TAPONES BUENOS DESC G2;
202;12;6/4/22;21:41;15;12;77;41;70277;712;4569;22:1;67;2033;13;543;22491;543;22:21;66;226;DIA;66;226;7040;0;23:20;7040;0;23;20;0;0;
202;12;6/4/22;22:3;16;12;77;41;70333;709;4643;22:24;158;2033;0;461;22511;593;23:33;69;188;DIA;69;188;5236;0;0:27;5236;0;0;27;0;0;
202;12;6/4/22;22:26;17;12;77;41;69773;714;4606;23:36;66;2013;14;441;22327;441;23:51;189;110;DIA;189;110;6996;0;0:51;7040;0;0;51;0;0;
202;12;6/4/22;23:38;18;12;77;41;70164;708;4631;23:55;154;2022;0;461;22460;461;0:16;111;7;DIA;111;7;5984;0;1:12;5984;0;1;11;0;0;
202;12;7/4/22;0:42;2;12;77;41;69904;655;4684;1:1;65;2014;15;475;22378;475;1:18;46;187;DIA;46;187;6204;65492;2:15;6204;0;2;15;0;0;
202;12;7/4/22;1:3;3;12;77;41;70310;668;4571;1:21;145;2027;0;463;22501;463;1:39;188;78;DIA;188;78;5632;44;2:34;5676;44;2;34;0;0;
202;12;7/4/22;1:23;4;12;77;41;69815;671;4608;1:42;65;2015;15;472;22347;472;1:59;78;226;DIA;78;226;6512;65492;2:57;6512;0;2;56;0;0;
202;12;7/4/22;1:45;5;12;77;41;69830;675;4609;2:2;152;2014;0;453;22347;453;2:21;227;108;DIA;227;108;5236;0;3:15;5280;0;3;15;0;0;
202;12;7/4/22;2:5;6;12;78;41;69787;696;4607;2:24;66;2020;14;421;22337;421;2:40;109;17;DIA;109;17;6468;44;3:37;6468;44;3;37;0;0;
202;12;7/4/22;2:26;7;12;78;41;70050;701;4624;2:43;150;2022;0;422;22419;422;3:2;17;154;DIA;17;154;5940;0;3:58;5984;44;3;58;0;0;
202;12;7/4/22;2:45;8;12;78;41;69835;696;4610;3:5;66;2018;14;405;22347;417;3:22;154;58;DIA;154;58;6248;0;4:19;6292;44;4;19;0;0;
202;12;7/4/22;3:7;9;12;78;41;69782;694;4536;3:26;147;2016;0;371;22337;371;3:44;58;194;DIA;58;194;5984;65492;4:40;5984;0;4;40;0;0;
202;12;7/4/22;3:28;10;12;78;41;69952;684;4617;3:47;66;2015;14;384;22388;414;4:5;195;97;DIA;195;97;6116;44;5:1;6204;0;5;1;0;0;
202;12;7/4/22;3:49;11;12;78;41;70008;701;4551;4:8;146;2018;0;368;22409;373;4:26;97;1;DIA;98;1;6292;0;5:23;6248;44;5;23;0;0;
202;12;7/4/22;4:11;12;12;78;41;69794;687;4607;4:30;66;2011;14;357;22337;431;4:47;1;144;DIA;1;144;6248;65492;5:44;6292;0;5;44;0;0;
202;12;7/4/22;4:32;13;12;78;41;69935;707;4616;4:51;146;2017;0;368;22388;369;5:9;145;52;DIA;145;52;6380;44;6:6;6424;44;6;6;0;0;
202;12;7/4/22;4:54;14;12;78;41;69747;704;4534;5:13;66;2011;14;363;22327;420;5:31;52;198;DIA;52;198;6424;65492;6:29;6424;0;6;28;0;0;
202;12;7/4/22;5:16;15;12;78;41;69832;713;4540;5:35;146;2018;0;369;22347;369;5:53;199;106;DIA;199;106;6336;44;6:51;6380;44;6;50;0;0;
202;12;7/4/22;5:38;16;12;78;41;69770;720;4605;5:57;66;2009;14;338;22327;442;6:15;106;15;DIA;106;15;6556;65492;7:13;6556;0;7;13;0;0;
202;12;7/4/22;5:59;17;12;78;41;69700;703;4601;6:20;158;2008;0;364;22307;364;6:38;16;163;DIA;16;163;6380;44;7:35;6424;44;7;35;0;0;
202;12;7/4/22;6:22;18;12;78;41;69728;759;4603;6:42;66;2009;14;331;22317;446;7:0;163;63;DIA;163;63;6116;65492;7:56;6160;0;7;56;0;0;
202;12;7/4/22;6:44;19;12;78;41;69804;680;4608;7:4;149;2008;0;314;22337;349;7:21;64;208;DIA;64;208;6292;44;8:18;6292;44;8;18;0;0;
202;12;7/4/22;7:6;20;12;78;41;69637;674;4597;7:25;66;2011;14;318;22286;417;7:43;208;111;DIA;208;111;6204;65492;8:40;6248;0;8;39;0;0;
202;12;7/4/22;7:28;21;12;78;41;69946;711;4617;7:47;161;2015;0;347;22388;360;8:4;112;19;DIA;112;19;6468;0;9:2;6468;0;9;2;0;0;
202;12;7/4/22;8:11;23;12;78;41;69596;721;4663;8:31;154;2007;0;305;22276;377;8:49;168;74;DIA;168;74;6380;65492;9:46;6424;0;9;46;0;0;
202;12;7/4/22;8:33;24;12;78;41;69742;723;4534;8:53;66;2012;14;321;22317;455;9:11;75;221;DIA;75;221;6380;44;10:8;6380;44;10;8;0;0;
202;12;7/4/22;8:55;25;12;78;41;69813;716;4538;9:15;149;2011;0;323;22347;370;9:33;221;132;DIA;221;132;6556;65492;10:31;6600;0;10;31;0;0;
202;12;7/4/22;9:17;26;12;78;41;69612;708;4595;9:37;33;961;47;283;22276;458;9:55;133;38;DIA;133;38;6336;0;10:53;6380;0;10;53;0;0;
202;12;7/4/22;9:40;27;12;78;41;69881;721;4613;9:59;33;974;47;292;22368;438;10:17;39;183;DIA;39;183;6292;44;11:14;6292;44;11;14;0;0;
202;12;7/4/22;10:2;28;12;78;41;69843;706;4680;10:21;33;963;47;267;22358;443;10:39;183;86;DIA;183;86;6204;0;11:35;6248;44;11;35;0;0;
202;12;7/4/22;10:24;29;12;78;41;69946;710;4687;10:43;34;974;46;258;22388;435;11:1;86;231;DIA;86;231;6380;65492;11:57;6380;0;11;57;0;0;
202;12;7/4/22;10:45;30;12;78;41;69918;709;4615;11:5;33;965;47;245;22378;450;11:22;232;136;DIA;232;136;6248;0;12:18;6292;0;12;18;0;0;
202;12;7/4/22;11:7;31;12;78;41;70024;711;4622;11:25;34;975;46;242;22409;450;11:44;137;42;DIA;137;42;6336;0;12:40;6380;0;12;39;0;0;
202;12;7/4/22;11:28;32;12;78;41;70148;697;4560;11:47;34;969;46;253;22450;450;12:5;43;185;DIA;43;185;6248;0;13:4;6248;0;13;4;0;0;
202;12;7/4/22;11:49;33;12;79;41;69846;723;4610;12:8;34;966;46;234;22358;450;12:26;186;93;DIA;186;93;6336;44;13:25;6380;44;13;25;0;0;
202;12;7/4/22;12:10;34;12;79;41;70010;723;4551;12:29;34;978;46;275;22409;450;12:48;93;238;DIA;93;238;6424;65492;13:47;6424;0;13;47;0;0;
202;12;7/4/22;12:31;35;12;79;41;70145;717;4630;12:51;33;969;47;259;22450;450;13:12;239;142;DIA;239;142;6204;0;14:8;6248;0;14;8;0;0;
202;12;7/4/22;12:53;36;12;79;41;70410;723;4577;13:15;34;975;46;239;22532;455;13:33;143;47;DIA;143;47;6292;0;14:29;6336;0;14;29;0;0;
202;12;7/4/22;13:18;37;12;79;41;70043;719;4553;13:36;33;969;47;243;22419;450;13:55;48;194;DIA;48;194;6424;0;14:51;6424;0;14;51;0;0;
202;12;7/4/22;13:39;38;12;79;41;70089;712;4626;13:58;33;974;47;252;22429;450;14:16;195;100;DIA;195;100;6292;0;15:12;6336;0;15;12;0;0;
