HORA;Tª HORNO CALIENTE;CANAL DE AIRE;Tª HORNO FRIO;INFR. SX;INFR. DX;
0:00:01;122;158,7;80;724;493;
0:01:01;122;158,7;80;726;494;
0:02:01;122;158,7;80;729;495;
0:03:01;122;158,7;80;718;496;
0:04:01;122;158,7;80;718;495;
0:05:01;122;158,9;80;725;495;
0:06:01;122;159,5;80;730;495;
0:07:01;122;159,8;80;730;495;
0:08:01;122;159,5;80;725;496;
0:09:01;122;159;80;730;493;
0:10:01;122;158,4;80;725;495;
0:11:01;122;157,8;80;725;495;
0:12:01;122;157,6;80;728;496;
0:13:02;122;157,6;80;729;496;
0:14:01;122;157,9;80;732;497;
0:15:01;122;158,1;80;737;497;
0:16:01;122;158,1;80;736;494;
0:17:01;122;158,2;80;734;494;
0:18:01;122;158,2;80;730;494;
0:19:01;122;158;80;734;497;
0:20:01;122;158;80;735;498;
0:21:01;122;158;80;735;496;
0:22:01;122;158,1;80;731;498;
0:23:01;122;158,2;80;740;500;
0:24:01;122;158,4;80;730;498;
0:25:01;122;158,5;80;738;493;
0:26:01;122;158,5;80;729;495;
0:27:01;122;158,3;80;726;495;
0:28:01;122;158;80;725;495;
0:29:01;122;158;80;717;499;
0:30:01;122;158,5;80;721;498;
0:31:01;122;159,2;80;720;495;
0:32:01;122;159,5;80;720;496;
0:33:01;122;159,4;80;720;496;
0:34:01;122;159,1;80;728;495;
0:35:01;122;158,6;80;716;495;
0:36:01;122;158,2;80;729;494;
0:37:01;122;157,9;80;725;495;
0:38:01;122;157,9;80;725;500;
0:39:01;122;157,9;80;725;495;
0:40:01;122;158;80;730;496;
0:41:01;122;158;80;725;498;
0:42:01;122;157,9;80;730;495;
0:43:01;122;157,8;80;728;498;
0:44:01;122;157,6;80;733;498;
0:45:01;122;157,5;80;729;495;
0:46:01;122;157,5;80;729;496;
0:47:01;122;157,6;80;729;494;
0:48:01;122;157,3;80;730;494;
0:49:01;122;156,9;80;730;488;
0:50:01;122;156,5;80;735;492;
0:51:01;121;156,3;80;734;495;
0:52:01;121;156,4;80;739;491;
0:53:01;121;156,4;80;737;493;
0:54:01;121;156,7;80;740;495;
0:55:01;121;157,3;80;741;495;
0:56:01;121;158;80;740;496;
0:57:01;121;158,9;80;735;490;
0:58:01;121;160,2;80;744;491;
0:59:01;121;161,4;80;741;493;
1:00:01;122;161,8;80;730;492;
1:01:01;122;161,2;80;724;490;
1:02:01;122;160,3;80;725;495;
1:03:01;122;160;80;725;492;
1:04:01;122;160,1;80;722;491;
1:05:01;122;160,3;80;716;493;
1:06:01;122;160,5;80;721;494;
1:07:01;122;160,7;80;715;490;
1:08:01;122;160,9;80;713;495;
1:09:01;122;161,2;80;715;490;
1:10:01;122;161,6;80;725;492;
1:11:01;122;162;80;729;495;
1:12:01;122;162,1;80;726;496;
1:13:01;122;162,1;80;720;495;
1:14:01;122;161,7;80;730;492;
1:15:01;122;161,3;80;725;492;
1:16:01;122;161,1;80;725;490;
1:17:01;122;161,2;80;730;490;
1:18:01;122;161,2;80;727;488;
1:19:01;122;161,3;80;731;488;
1:20:01;122;161,3;80;735;491;
1:21:01;122;161,1;80;715;491;
1:22:01;122;160,9;80;718;491;
1:23:01;122;160,9;80;722;493;
1:24:01;122;161,1;80;725;492;
1:25:01;122;161,3;80;730;490;
1:26:01;122;161,4;80;725;491;
1:27:01;122;161,3;80;726;491;
1:28:01;122;161,1;80;726;493;
1:29:01;122;160,9;80;728;491;
1:30:01;122;161,1;80;726;490;
1:31:01;122;161,3;80;728;490;
1:32:01;122;161,4;80;730;490;
1:33:01;122;161,3;80;727;490;
1:34:01;122;161;80;725;489;
1:35:01;122;160,7;80;727;486;
1:36:01;122;160,5;80;725;489;
1:37:01;122;160,4;80;721;490;
1:38:01;122;160,4;80;726;485;
1:39:01;122;160,4;80;726;487;
1:40:01;122;160,2;80;731;485;
1:41:01;122;159,8;80;732;487;
1:42:01;122;159,5;80;733;487;
1:43:01;122;159,2;80;722;487;
1:44:01;122;159,3;80;725;489;
1:45:01;122;159,7;80;725;488;
1:46:01;122;160,3;80;717;491;
1:47:01;122;160,6;80;720;490;
1:48:01;122;160,8;80;722;489;
1:49:01;122;160,8;80;727;488;
1:50:01;122;160,7;80;725;490;
1:51:01;122;160,6;80;718;487;
1:52:01;122;160,5;80;725;486;
1:53:01;122;160,5;80;718;488;
1:54:01;123;160,3;80;717;488;
1:55:01;123;159,7;80;721;491;
1:56:01;122;159;80;722;486;
1:57:01;122;158,5;80;725;486;
1:58:01;122;158,2;80;728;485;
1:59:01;122;158,3;80;729;489;
2:00:01;122;158,7;80;732;487;
2:01:01;122;159,1;80;726;488;
2:02:01;122;159,5;80;730;483;
2:03:01;122;159,6;80;734;485;
2:04:01;122;159,5;80;734;486;
2:05:01;122;159,4;80;735;485;
2:06:01;122;159,4;80;740;489;
2:07:01;122;159,6;80;732;489;
2:08:01;122;159,6;80;735;489;
2:09:01;122;159,6;80;722;491;
2:10:01;122;159,3;80;720;490;
2:11:01;122;158,9;80;720;490;
2:12:01;122;158,7;80;709;492;
2:13:01;122;158,8;80;715;493;
2:14:01;122;159;80;715;494;
2:15:01;122;159,3;80;717;495;
2:16:01;122;159,4;80;721;493;
2:17:01;122;159,5;80;729;493;
2:18:01;122;159,5;80;716;495;
2:19:01;122;159,3;80;729;494;
2:20:01;122;159,3;80;725;495;
2:21:01;122;159,5;80;736;490;
2:22:01;122;159,5;80;732;491;
2:23:01;122;159,4;80;723;495;
2:24:01;122;159,2;80;725;495;
2:25:01;122;158,9;80;720;493;
2:26:01;122;158,6;80;722;495;
2:27:01;122;158,4;80;724;494;
2:28:01;122;158,4;80;712;496;
2:29:01;122;158,3;80;724;494;
2:30:01;122;157,8;80;718;493;
2:31:01;122;157,2;80;725;495;
2:32:01;122;156,8;80;726;490;
2:33:01;122;156,6;80;735;490;
2:34:01;122;156,8;80;735;488;
2:35:01;122;157,1;80;716;492;
2:36:01;122;157,7;80;726;490;
2:37:01;122;158,3;80;723;492;
2:38:01;122;158,7;80;735;490;
2:39:01;122;158,9;80;725;487;
2:40:01;122;158,8;80;730;489;
2:41:01;122;158,5;80;726;491;
2:42:01;122;158,2;80;726;491;
2:43:01;122;158,2;80;722;490;
2:44:01;122;158,4;80;730;489;
2:45:01;122;158,7;80;732;488;
2:46:01;122;158,8;80;725;491;
2:47:01;122;158,9;80;729;488;
2:48:01;122;159;80;735;491;
2:49:01;122;159,2;80;734;492;
2:50:01;122;159,6;80;719;488;
2:51:01;122;160;80;719;487;
2:52:01;122;160,2;80;720;487;
2:53:01;122;159,9;80;720;490;
2:54:01;122;159,6;80;724;489;
2:55:01;122;159,2;80;720;490;
2:56:01;122;158,7;80;726;494;
2:57:01;122;158,5;80;725;491;
2:58:01;122;158,6;80;730;490;
2:59:01;122;158,7;80;727;490;
3:00:01;122;158,5;80;721;490;
3:01:01;122;158,5;80;729;486;
3:02:01;122;158,5;80;732;485;
3:03:01;122;158,7;80;734;487;
3:04:01;122;158,7;80;724;487;
3:05:01;122;158,8;80;720;489;
3:06:01;122;158,7;80;723;489;
3:07:01;122;158,5;80;729;490;
3:08:01;122;158,3;80;730;491;
3:09:01;122;158;80;725;491;
3:10:01;122;158;80;721;492;
3:11:01;122;157,9;80;726;490;
3:12:01;122;157,9;80;728;491;
3:13:01;122;157,9;80;725;488;
3:14:01;122;158,1;80;731;493;
3:15:01;122;158,1;80;732;494;
3:16:01;122;158,2;80;721;496;
3:17:01;122;158,4;80;728;489;
3:18:01;122;158,6;80;724;490;
3:19:01;122;158,7;80;730;493;
3:20:01;122;158,8;80;734;491;
3:21:01;122;158,8;80;723;495;
3:22:01;122;158,8;80;734;497;
3:23:01;122;158,5;80;718;494;
3:24:01;122;158,4;80;714;494;
3:25:01;122;158,4;80;716;494;
3:26:01;122;158,1;80;725;494;
3:27:01;122;157,3;80;712;491;
3:28:01;122;156,4;80;723;491;
3:29:01;121;155,9;80;720;494;
3:30:01;121;156,5;80;725;491;
3:31:01;122;158;80;725;494;
3:32:01;122;159,2;80;726;492;
3:33:01;122;159,4;80;723;494;
3:34:01;122;159;80;725;490;
3:35:01;122;158,2;80;725;491;
3:36:01;122;157,5;80;730;489;
3:37:01;122;157,4;80;725;490;
3:38:01;122;157,6;80;732;490;
3:39:01;122;157,7;80;735;490;
3:40:01;122;158;80;740;490;
3:41:01;122;158,3;80;739;504;
3:42:01;122;158,4;80;755;525;
3:43:01;122;158,4;80;725;488;
3:44:01;122;158,3;80;726;491;
3:45:01;122;158,1;80;726;489;
3:46:01;122;158,1;80;726;491;
3:47:01;122;158,3;80;728;488;
3:48:01;122;158,4;80;726;489;
3:49:01;122;158,5;80;734;490;
3:50:01;122;158,6;80;730;492;
3:51:01;122;158,7;80;725;490;
3:52:01;122;159,1;80;726;490;
3:53:01;122;159,4;80;722;488;
3:54:01;122;159,7;80;723;487;
3:55:01;122;159,8;80;725;487;
3:56:01;122;159,6;80;724;488;
3:57:01;122;159,2;80;719;485;
3:58:01;122;159;80;725;481;
3:59:01;122;159;80;723;483;
4:00:01;122;159,6;80;720;483;
4:01:01;122;160;80;732;480;
4:02:01;122;159,9;80;735;480;
4:03:01;122;159,3;80;734;481;
4:04:01;122;158,9;80;737;488;
4:05:01;122;158,8;80;721;491;
4:06:01;122;158,9;80;720;490;
4:07:01;122;159,3;80;727;490;
4:08:01;122;159,6;80;719;490;
4:09:01;122;159,8;80;718;490;
4:10:01;122;159,8;80;719;491;
4:11:01;122;159,6;80;724;491;
4:12:01;122;159,2;80;720;489;
4:13:01;122;158,9;80;715;482;
4:14:01;122;159,1;80;725;489;
4:15:01;122;159,6;80;726;488;
4:16:01;122;159,7;80;730;492;
4:17:01;122;159,2;80;731;490;
4:18:01;122;158,4;80;728;490;
4:19:01;122;157,8;80;731;484;
4:20:01;122;157,6;80;732;490;
