HORA;Tª HORNO CALIENTE;CANAL DE AIRE;Tª HORNO FRIO;INFR. SX;INFR. DX;
0:00:01;125;166,9;81;670;510;
0:01:01;125;166,9;81;665;510;
0:02:01;125;167;81;669;509;
0:03:01;125;166,9;81;670;511;
0:04:01;125;166,8;81;669;510;
0:05:01;125;166,9;81;673;509;
0:06:01;125;166,8;81;668;510;
0:07:01;125;167;81;670;510;
0:08:01;125;167,2;81;670;509;
0:09:01;125;167,5;82;664;512;
0:10:01;125;167,5;82;674;511;
0:11:01;125;167,4;82;669;510;
0:12:01;125;167,4;82;668;508;
0:13:01;125;167,4;82;677;506;
0:14:01;125;167,4;82;671;509;
0:15:01;125;167,6;82;677;509;
0:16:01;125;167,7;81;675;510;
0:17:01;125;167,8;81;675;510;
0:18:01;125;167,9;81;678;509;
0:19:01;125;167,9;81;675;509;
0:20:01;125;168;81;670;509;
0:21:01;125;168;81;680;510;
0:22:01;125;167,9;81;670;509;
0:23:02;125;167,9;81;671;511;
0:24:01;125;167,9;81;680;509;
0:25:01;125;167,9;81;670;510;
0:26:01;125;167,9;81;671;510;
0:27:01;125;167,8;81;669;509;
0:28:01;125;167,7;81;669;511;
0:29:01;125;167,7;81;672;509;
0:30:01;125;167,6;81;665;510;
0:31:01;125;167,6;81;668;510;
0:32:01;125;167,7;81;681;507;
0:33:01;125;167,9;81;665;505;
0:34:01;125;168;81;670;507;
0:35:01;125;167,8;81;673;506;
0:36:01;125;167,6;81;671;509;
0:37:01;125;167,6;81;665;505;
0:38:01;125;167,7;81;664;509;
0:39:01;125;167,9;81;672;507;
0:40:01;125;167,8;81;670;505;
0:41:01;125;167,5;81;664;509;
0:42:02;125;167;81;669;506;
0:43:01;125;166,7;81;675;505;
0:44:01;125;166,5;81;670;509;
0:45:01;125;166,5;81;665;507;
0:46:01;125;166,6;81;679;507;
0:47:01;125;166,6;81;671;509;
0:48:01;125;166,5;81;670;505;
0:49:01;125;166,6;81;670;505;
0:50:01;125;166,7;81;675;506;
0:51:01;125;166,8;81;683;503;
0:52:01;125;167;81;675;500;
0:53:01;125;167,2;81;677;505;
0:54:01;125;167,2;81;679;505;
0:55:01;125;166,9;81;677;509;
0:56:01;125;166,6;81;676;506;
0:57:01;125;166,6;81;676;507;
0:58:01;125;166,6;81;674;507;
0:59:01;125;166,6;81;674;510;
1:00:01;125;166,7;81;670;509;
1:01:01;125;166,8;81;673;508;
1:02:01;125;166,9;81;676;505;
1:03:01;125;167;81;670;507;
1:04:01;125;167,2;81;673;507;
1:05:01;125;167,4;81;669;509;
1:06:01;125;167,5;81;663;509;
1:07:01;125;167,6;81;669;509;
1:08:01;125;167,7;81;664;510;
1:09:01;125;167,7;81;668;511;
1:10:01;125;167,7;81;673;509;
1:11:01;125;167,7;81;673;510;
1:12:01;125;167,6;81;675;510;
1:13:01;125;167,5;81;672;509;
1:14:01;125;167,4;81;665;512;
1:15:01;125;167,3;81;679;510;
1:16:01;125;167,3;81;680;511;
1:17:01;125;167,3;81;665;509;
1:18:01;125;167,2;81;669;510;
1:19:01;125;167,1;81;668;512;
1:20:01;125;167,1;81;674;510;
1:21:01;125;167,2;81;670;509;
1:22:01;125;167,3;81;671;510;
1:23:01;125;167,4;81;670;511;
1:24:01;125;167,4;82;679;509;
1:25:01;125;167,3;82;668;509;
1:26:01;125;167,1;81;678;508;
1:27:01;125;166,9;81;674;507;
1:28:01;125;166,7;81;675;507;
1:29:01;125;166,7;81;678;507;
1:30:01;125;166,7;81;673;507;
1:31:01;125;166,8;81;676;506;
1:32:01;125;166,9;81;675;506;
1:33:01;125;167,1;81;675;507;
1:34:01;125;167,3;81;675;507;
1:35:01;125;167,4;81;675;508;
1:36:01;125;167,6;81;669;509;
1:37:01;125;167,7;81;670;505;
1:38:01;125;167,6;81;664;507;
1:39:01;125;167,7;81;667;506;
1:40:01;125;167,6;81;672;505;
1:41:01;125;167,6;81;665;507;
1:42:01;125;167,6;81;664;507;
1:43:01;125;167,6;81;673;506;
1:44:01;125;167,8;81;657;505;
1:45:01;125;167,9;81;661;508;
1:46:01;125;167,9;81;665;505;
1:47:01;125;167,9;81;668;507;
1:48:01;125;168,1;81;674;505;
1:49:01;125;168,2;81;659;506;
1:50:01;125;168,4;81;660;509;
1:51:01;125;168,5;81;675;505;
1:52:01;125;168,6;81;665;508;
1:53:01;125;168,7;81;661;507;
1:54:01;125;168,6;81;671;505;
1:55:01;125;168,5;81;663;509;
1:56:01;125;168,5;81;670;509;
1:57:01;125;168,4;81;664;510;
1:58:01;125;168,4;81;665;509;
1:59:01;125;168,3;81;670;505;
2:00:01;125;168,3;81;664;506;
2:01:01;125;168,3;81;668;507;
2:02:01;125;168,4;81;680;507;
2:03:01;125;168,5;81;672;507;
2:04:01;125;168,7;82;679;507;
2:05:01;125;168,8;81;665;507;
2:06:01;125;168,9;81;666;508;
2:07:01;125;169,1;81;673;510;
2:08:01;125;169,2;81;658;505;
2:09:01;125;169,3;81;670;515;
2:10:01;125;169,4;81;669;519;
2:11:01;125;169,3;81;672;519;
2:12:01;125;169,3;81;665;516;
2:13:01;125;169,4;81;675;513;
2:14:01;125;169,5;81;663;517;
2:15:01;125;169,4;81;670;516;
2:16:01;125;169,4;81;660;515;
2:17:01;125;169,3;78;667;516;
2:18:01;125;169,3;77;664;511;
2:19:01;125;169,3;76;661;513;
2:20:01;125;169,4;76;660;516;
2:21:01;125;169,6;76;667;512;
2:22:01;125;169,7;76;663;516;
2:23:01;125;169,8;76;663;510;
2:24:01;125;169,8;76;669;513;
2:25:01;125;169,8;76;653;519;
2:26:01;125;169,9;76;658;520;
2:27:01;125;170,1;76;653;515;
2:28:01;125;170;76;659;520;
2:29:01;125;170;76;655;519;
2:30:01;125;170,1;76;656;517;
2:31:01;125;170;76;658;515;
2:32:01;125;170;76;664;513;
2:33:01;125;170,2;76;657;518;
2:34:01;125;170,1;76;660;519;
2:35:01;125;170,1;76;651;520;
2:36:01;125;170,2;76;657;519;
2:37:01;125;170,3;76;659;517;
2:38:01;125;170,6;76;651;516;
2:39:01;125;170,8;76;659;510;
