HORA;Tª HORNO CALIENTE;CANAL DE AIRE;Tª HORNO FRIO;INFR. SX;INFR. DX;
0:00:01;119;146,2;85;774;460;
0:01:01;119;146,3;85;781;460;
0:02:01;119;146,3;85;781;462;
0:03:01;119;146;85;781;465;
0:04:01;119;145,5;85;780;464;
0:05:01;119;145;85;773;465;
0:06:01;119;144,8;85;772;465;
0:07:01;119;145;85;772;465;
0:08:01;119;145,3;85;769;464;
0:09:01;119;145,5;85;766;465;
0:10:01;119;145,6;85;760;465;
0:11:01;119;145,5;85;765;465;
0:12:01;119;145,4;85;762;465;
0:13:01;119;145,3;85;762;462;
0:14:01;119;145,1;85;778;464;
0:15:01;119;145;85;777;459;
0:16:01;119;144,8;85;786;458;
0:17:02;119;144,8;85;770;460;
0:18:01;119;145,1;85;775;460;
0:19:01;119;145,4;85;776;460;
0:20:01;119;145,8;85;776;459;
0:21:01;119;146;85;773;460;
0:22:01;119;146;85;775;460;
0:23:01;119;145,8;85;775;461;
0:24:01;119;145,4;85;775;463;
0:25:01;119;145,4;85;774;461;
0:26:01;119;145,7;85;779;460;
0:27:01;119;146,1;85;775;460;
0:28:01;119;146,3;85;771;460;
0:29:01;119;146,4;85;772;460;
0:30:01;119;146,5;85;773;459;
0:31:01;119;146,6;85;777;460;
0:32:01;119;146,9;85;778;459;
0:33:01;119;147,3;85;776;460;
0:34:01;119;147,5;85;773;463;
0:35:01;119;147,3;85;784;461;
0:36:01;119;147;85;776;462;
0:37:01;119;146,8;85;778;460;
0:38:01;119;146,6;85;777;460;
0:39:01;119;146,7;85;770;464;
0:40:01;119;146,8;85;774;458;
0:41:01;119;147;85;772;455;
0:42:01;119;147;85;769;458;
0:43:01;119;146,8;85;771;458;
0:44:01;119;146,4;85;762;457;
0:45:01;119;146,1;85;766;459;
0:46:01;119;145,8;85;766;458;
0:47:01;119;145,7;85;765;456;
0:48:01;119;145,6;85;770;454;
0:49:01;119;145,5;85;775;451;
0:50:01;119;145,7;85;763;451;
0:51:01;119;145,9;85;769;451;
0:52:01;119;146,1;85;763;451;
0:53:01;119;146,4;85;767;452;
0:54:01;119;146,5;85;764;455;
0:55:01;119;146,6;85;770;455;
0:56:01;119;146,8;85;765;452;
0:57:01;119;146,9;85;770;451;
0:58:01;119;146,9;85;768;452;
0:59:01;119;146,9;85;772;455;
1:00:01;119;146,8;85;767;453;
1:01:01;119;146,9;85;770;455;
1:02:01;119;147,1;85;767;454;
1:03:01;119;147,1;85;769;455;
1:04:01;119;147,2;85;766;454;
1:05:01;119;147,2;85;775;454;
1:06:01;119;147,1;85;774;455;
1:07:01;119;146,9;85;771;455;
1:08:01;119;146,8;85;775;455;
1:09:02;119;146,6;85;785;453;
1:10:01;119;146,6;85;774;453;
1:11:01;119;146,5;85;781;454;
1:12:01;119;146,6;85;781;454;
1:13:01;119;146,7;85;778;454;
1:14:01;119;146,6;85;784;459;
1:15:01;119;146,4;85;785;457;
1:16:01;119;146,4;85;779;455;
1:17:01;119;146,4;85;776;453;
1:18:01;119;146,3;85;772;455;
1:19:01;119;146,1;85;775;453;
1:20:01;119;146,1;85;770;452;
1:21:01;119;146,1;85;769;452;
1:22:01;119;146,3;85;774;453;
1:23:01;119;146,5;85;780;452;
1:24:01;119;146,5;85;765;455;
1:25:01;119;146,5;85;773;453;
1:26:01;119;146,5;85;770;455;
1:27:01;119;146,5;85;773;456;
1:28:01;119;146,6;85;768;455;
1:29:01;119;146,6;85;771;455;
1:30:01;119;146,5;85;765;457;
1:31:01;119;146,5;85;768;457;
1:32:01;119;146,4;85;765;453;
1:33:01;119;146,2;85;769;459;
1:34:01;119;146,2;85;766;455;
1:35:01;119;146,3;85;766;455;
1:36:01;119;146,3;85;766;457;
1:37:01;119;146,3;85;765;456;
1:38:01;119;146,3;85;767;455;
1:39:01;119;146,4;85;770;453;
1:40:01;119;146,5;85;770;456;
1:41:01;119;146,6;85;765;457;
1:42:01;119;146,5;85;770;455;
1:43:01;119;146,4;85;768;453;
1:44:01;119;146,3;85;772;453;
1:45:01;119;146,3;85;770;455;
1:46:01;119;146,4;85;769;457;
1:47:02;119;146,7;85;766;457;
1:48:01;119;146,8;85;764;457;
1:49:01;119;146,9;85;760;455;
1:50:01;119;146,8;85;755;455;
1:51:01;119;146,6;85;761;457;
1:52:01;119;146,4;85;761;459;
1:53:01;119;146,2;85;759;459;
1:54:01;119;146;85;764;460;
1:55:01;119;146;85;758;455;
1:56:01;119;146,1;85;761;455;
1:57:01;119;146,3;85;763;455;
1:58:01;119;146,4;85;758;455;
1:59:01;119;146,7;85;765;455;
2:00:01;119;147,1;85;764;456;
2:01:01;119;147,2;85;762;457;
2:02:01;119;147,3;85;762;460;
2:03:01;119;147,3;85;761;456;
2:04:01;119;147,3;85;770;456;
2:05:01;119;147,3;85;765;455;
2:06:01;119;147,2;85;765;455;
2:07:01;119;147,1;85;780;463;
2:08:01;119;147,2;85;771;455;
2:09:01;119;147,2;85;763;455;
2:10:01;119;147,2;85;780;451;
2:11:01;119;147,1;85;780;450;
2:12:01;119;147;85;776;449;
2:13:01;119;147;85;782;450;
2:14:01;119;147,1;85;775;450;
2:15:01;119;146,9;85;771;449;
2:16:01;119;146,7;85;770;447;
2:17:02;119;146,5;85;765;452;
2:18:01;119;146,4;85;771;449;
2:19:01;119;146,5;85;770;449;
2:20:01;119;146,6;85;776;446;
2:21:01;119;146,7;85;770;449;
2:22:01;119;146,8;85;771;447;
2:23:01;119;146,6;85;770;445;
2:24:01;119;146,4;85;768;446;
2:25:01;119;146,2;85;770;446;
2:26:01;119;146,2;85;767;447;
2:27:01;119;146,4;85;765;447;
2:28:01;119;146,5;85;769;446;
2:29:01;119;146,6;85;764;449;
2:30:01;119;146,8;85;764;450;
2:31:01;119;147,1;85;766;449;
2:32:01;118;147,2;85;760;450;
2:33:01;118;147,4;85;773;450;
2:34:01;118;147,7;85;771;452;
2:35:01;119;148;85;768;451;
2:36:01;119;148,1;85;770;452;
2:37:01;119;148;85;768;451;
2:38:01;119;147,9;85;771;451;
2:39:01;119;147,9;85;767;452;
2:40:01;119;147,8;85;767;452;
2:41:01;119;147,8;85;766;452;
2:42:01;119;147,9;85;758;451;
2:43:01;119;147,8;85;765;452;
2:44:01;119;147,5;85;762;452;
2:45:01;119;147,3;85;762;452;
2:46:01;119;147,2;85;764;451;
2:47:01;119;147,2;85;770;450;
2:48:01;119;147,4;85;768;450;
2:49:01;119;147,7;85;769;451;
2:50:01;119;147,8;85;765;450;
2:51:01;119;148;85;765;452;
2:52:01;119;148,2;85;770;450;
2:53:01;119;148,3;85;765;450;
2:54:01;119;148,3;85;772;451;
2:55:01;119;148,3;85;766;454;
2:56:02;119;148,2;85;765;452;
2:57:01;119;148,2;85;760;453;
2:58:01;119;148,2;85;760;451;
2:59:01;119;148,1;85;762;455;
3:00:01;119;147,9;85;763;454;
3:01:01;119;147,7;85;763;455;
3:02:01;119;147,5;85;755;452;
3:03:01;119;147,4;85;760;452;
3:04:01;119;147,5;85;770;451;
3:05:01;119;147,8;85;755;451;
3:06:01;119;148,1;85;760;451;
