TIPO;NUMERO DE ESTACION;DIA INICIO/MES INICIO/AÑO INICIO;HORA INICIO:MINUTO INICIO;NUMERO DE MEZCLA;NUMERO DE PREMEZCLA;NUMERO DE BATCH;NUMERO RECETA;PESADA DE CORCHO;MINUTOS PESADA;PESADA D.U;TIEMPO VACIADO (1):TIEMPO VACIADO (2);TIEMPO INYECCION AGUA (s);PESADA INYECCION AGUA;TIEMPO MEZCLA AGUA;TIEMPO INYECCION COLA;PESADA INYECCION COLA;TIEMPO MEZCLA COLA;TIEMPO VACIADO MEZC. MED(1):TIEMPO VACIADO MEZC. MED(2);MOLDE INICIAL EXT1;MOLDE FINAL EXT1;NOMBRE RECETA;MOLDE INICIAL EXT2;MOLDE FINAL EXT2;TAPONES BUENOS G1;TAPONES MALOS G1;TIEMPO EXTRACC. G1 (1):TIEMPO EXTRACC. G1 (2);TAPONES BUENOS G2;TAPONES MALOS G2;TIEMPO EXTRACC. G2 (1):TIEMPO EXTRACC. G2 (2);TAPONES BUENOS DESC G1;TAPONES BUENOS DESC G2;
202;12;4/6/22;22:17;58;12;110;38;75511;748;4607;22:37;65;1944;0;232;21151;301;22:55;107;13;DIL;107;13;6424;0;23:53;6424;0;23;53;0;0;
202;12;4/6/22;22:39;59;12;110;38;74138;780;4449;22:58;64;1908;0;235;20762;319;23:17;14;161;DIL;14;161;6424;44;0:15;6468;44;0;15;0;0;
202;12;4/6/22;23:1;60;12;110;38;75310;752;4519;23:20;65;1937;0;237;21089;325;23:40;161;69;DIL;161;69;6424;0;0:37;6468;44;0;37;0;0;
202;12;4/6/22;23:23;61;12;110;38;74140;806;4523;23:43;64;1910;0;232;20762;337;0:2;69;215;DIL;69;215;6468;65492;0:59;6468;0;0;59;0;0;
202;12;5/6/22;0:7;1;12;110;38;73935;797;4584;0:27;64;1907;0;235;20701;318;0:46;122;27;DIL;122;27;6380;0;1:43;6380;0;1;43;0;0;
202;12;5/6/22;0:30;2;12;110;38;74353;750;4462;0:49;53;1543;7;244;20824;326;1:8;28;171;DIL;28;171;6292;0;2:6;6336;0;2;6;0;0;
202;12;5/6/22;1:35;5;12;110;38;70562;713;4305;1:54;50;1472;10;263;19760;300;2:12;207;126;DIL;207;115;6952;0;3:9;6512;0;3;8;0;0;
202;12;5/6/22;4:9;6;12;110;38;69930;752;4266;4:25;50;1452;10;267;19586;300;4:54;28;144;DIL;28;144;5016;44;5:48;5060;44;5;48;0;0;
202;12;5/6/22;4:28;7;12;110;38;69521;705;4241;4:58;50;1450;10;258;19473;349;5:13;144;37;DIL;144;37;5808;0;6:8;5808;44;6;8;0;0;
202;12;5/6/22;5:0;8;12;110;38;69412;733;4235;5:16;49;1442;11;237;19443;327;5:33;37;169;DIL;37;169;5808;65492;6:28;5852;0;6;28;0;0;
202;12;5/6/22;5:18;9;12;110;38;69253;703;4225;5:36;49;1442;11;250;19392;319;5:53;170;62;DIL;170;62;5764;0;6:48;5808;0;6;48;0;0;
202;12;5/6/22;5:38;10;12;110;38;69207;708;4153;5:56;49;1441;11;237;19381;317;6:13;63;194;DIL;63;194;5808;0;7:8;5808;0;7;8;0;0;
202;12;5/6/22;5:58;11;12;110;38;69233;712;4224;6:16;50;1440;10;248;19392;325;6:33;195;88;DIL;195;88;5764;44;7:28;5808;44;7;28;0;0;
202;12;5/6/22;6:18;12;12;110;38;68958;705;4207;6:36;49;1436;11;266;19310;328;6:53;88;220;DIL;88;220;5852;65492;7:48;5852;0;7;48;0;0;
202;12;5/6/22;6:58;14;12;110;38;68990;704;4140;7:16;50;1440;10;239;19320;321;7:33;114;6;DIL;114;6;5808;0;8:27;5808;0;8;27;0;0;
