TIPO;NUMERO DE ESTACION;DIA INICIO/MES INICIO/AÑO INICIO;HORA INICIO:MINUTO INICIO;NUMERO DE MEZCLA;NUMERO DE PREMEZCLA;NUMERO DE BATCH;NUMERO RECETA;PESADA DE CORCHO;MINUTOS PESADA;PESADA D.U;TIEMPO VACIADO (1):TIEMPO VACIADO (2);TIEMPO INYECCION AGUA (s);PESADA INYECCION AGUA;TIEMPO MEZCLA AGUA;TIEMPO INYECCION COLA;PESADA INYECCION COLA;TIEMPO MEZCLA COLA;TIEMPO VACIADO MEZC. MED(1):TIEMPO VACIADO MEZC. MED(2);MOLDE INICIAL EXT1;MOLDE FINAL EXT1;NOMBRE RECETA;MOLDE INICIAL EXT2;MOLDE FINAL EXT2;TAPONES BUENOS G1;TAPONES MALOS G1;TIEMPO EXTRACC. G1 (1):TIEMPO EXTRACC. G1 (2);TAPONES BUENOS G2;TAPONES MALOS G2;TIEMPO EXTRACC. G2 (1):TIEMPO EXTRACC. G2 (2);TAPONES BUENOS DESC G1;TAPONES BUENOS DESC G2;
202;12;22/2/22;22:39;62;12;43;39;53129;533;2710;22:56;24;1063;96;286;26572;350;23:12;70;196;DIT;70;196;5500;0;0:5;5500;44;0;5;0;0;
202;12;22/2/22;22:58;63;12;43;39;53013;532;2704;23:15;23;1051;97;284;26510;350;23:31;196;84;DIT;196;84;5588;0;0:24;5588;44;0;24;0;0;
202;12;22/2/22;23:17;64;12;43;39;53122;546;2710;23:33;25;1048;95;299;26561;350;23:50;84;211;DIT;84;211;5544;65492;0:43;5588;0;0;43;0;0;
202;12;22/2/22;23:35;65;12;43;39;53167;539;2712;23:52;23;1051;97;313;26592;350;0:8;212;101;DIT;212;101;5588;44;1:2;5588;44;1;2;0;0;
202;12;23/2/22;0:51;3;12;43;39;53134;535;2710;1:8;23;1061;97;409;26572;409;1:26;19;169;DIT;19;160;6600;0;2:21;6204;0;2;20;0;0;
202;12;23/2/22;2:59;4;12;43;39;52938;549;2700;3:12;23;1058;97;490;26469;490;3:47;130;3;DIT;130;3;4928;0;4:38;4928;44;4;37;0;0;
202;12;23/2/22;3:14;5;12;43;39;52942;539;2753;3:50;23;1054;97;403;26480;403;4:3;4;130;DIT;3;130;5544;0;4:56;5588;0;4;56;0;0;
202;12;23/2/22;3:51;6;12;43;39;53289;551;2772;4:6;22;1054;98;417;26653;417;4:22;131;22;DIT;131;22;5720;44;5:15;5720;44;5;15;0;0;
202;12;23/2/22;4:8;7;12;43;39;53063;540;2654;4:24;23;1056;97;431;26531;431;4:41;22;148;DIT;22;148;5500;0;5:34;5500;44;5;34;0;0;
202;12;23/2/22;4:26;8;12;43;39;53198;551;2767;4:44;23;1053;97;432;26602;432;4:59;148;37;DIT;148;37;5676;65492;5:53;5676;0;5;53;0;0;
202;12;23/2/22;4:45;9;12;43;39;53150;540;2658;5:2;23;1052;97;432;26582;432;5:18;38;165;DIT;38;165;5544;44;6:11;5544;44;6;11;0;0;
202;12;23/2/22;5:4;10;12;43;39;53106;546;2656;5:21;23;1050;97;409;26561;409;5:37;165;55;DIT;165;55;5720;65492;6:31;5720;0;6;31;0;0;
202;12;23/2/22;5:23;11;12;43;39;53127;545;2710;5:40;23;1052;97;406;26572;406;5:56;56;183;DIT;56;183;5588;0;6:50;5588;0;6;49;0;0;
202;12;23/2/22;5:41;12;12;43;39;53100;540;2762;5:59;23;1048;97;389;26551;389;6:15;184;71;DIT;184;71;5588;0;7:8;5588;0;7;8;0;0;
202;12;23/2/22;6:19;14;12;43;39;53213;537;2714;6:36;22;1045;98;360;26613;360;6:52;199;88;DIT;199;88;5676;65492;7:46;5676;0;7;46;0;0;
202;12;23/2/22;6:43;15;12;43;39;54022;550;2756;6:56;24;1062;96;356;27011;356;7:11;90;14;DIT;90;238;7216;0;8:10;6556;0;8;8;0;0;
202;12;23/2/22;7:10;16;12;43;41;62942;623;4155;7:25;23;1103;97;339;20148;350;8:7;232;100;DIA;231;100;4664;44;8:58;4708;44;8;57;0;0;
202;12;23/2/22;7:27;17;12;43;41;62580;621;4131;8:10;24;1095;96;294;20026;316;8:23;100;224;DIA;100;224;5500;65492;9:16;5500;0;9;16;0;0;
202;12;23/2/22;8:12;18;12;43;41;62513;632;4126;8:26;24;1104;96;282;20005;309;8:41;225;112;DIA;225;112;5544;0;9:35;5500;44;9;34;0;0;
202;12;23/2/22;8:28;19;12;43;41;62345;626;4115;8:44;23;1097;97;270;19954;329;9:0;113;6;DIA;112;6;5808;44;9:54;5852;44;9;54;0;0;
202;12;23/2/22;8:46;20;12;43;41;62450;634;4122;9:3;24;1093;96;272;19985;316;9:20;6;139;DIA;6;139;5852;65492;10:14;5808;44;10;14;0;0;
202;12;23/2/22;9:5;21;12;43;41;62759;623;4143;9:22;23;1095;97;274;20087;334;9:39;140;28;DIA;139;28;5632;0;10:33;5676;0;10;33;0;0;
202;12;23/2/22;9:24;22;12;43;41;62782;637;4081;9:42;24;1095;96;277;20097;300;9:58;29;160;DIA;29;160;5764;0;10:52;5764;0;10;52;0;0;
202;12;23/2/22;9:44;23;12;43;41;62646;633;4073;10:1;24;1099;96;242;20046;300;10:18;161;51;DIA;161;51;5720;0;11:12;5720;0;11;11;0;0;
202;12;23/2/22;10:23;25;12;43;41;62802;634;4083;10:40;24;1098;96;239;20097;302;10:57;185;74;DIA;185;74;5676;65492;11:50;5676;0;11;50;0;0;
202;12;23/2/22;11:2;27;12;43;41;61731;628;4075;11:19;24;1092;96;274;19760;274;12:0;145;13;DIA;145;13;4708;0;12:51;4752;0;12;51;0;0;
202;12;23/2/22;11:54;28;12;43;41;63244;622;4175;12:9;24;1106;96;248;20241;248;12:16;14;141;DIA;14;141;5544;44;13:10;5544;44;13;9;0;0;
202;12;23/2/22;12:11;29;12;43;41;63393;634;4184;12:26;25;1124;95;327;20292;327;12:35;141;36;DIA;141;36;5940;65492;13:30;5896;44;13;29;0;0;
202;12;23/2/22;12:28;30;12;43;41;63462;627;4126;12:42;24;1119;96;242;20312;315;12:55;37;170;DIA;36;170;5852;0;13:49;5896;0;13;49;0;0;
202;12;23/2/22;12:44;31;12;43;41;63113;616;4166;12:58;24;1101;96;241;20200;329;13:15;171;60;DIA;171;60;5676;0;14:8;5676;0;14;8;0;0;
202;12;23/2/22;13:0;32;12;43;41;62779;615;4081;13:17;24;1096;96;220;20097;291;13:34;61;194;DIA;61;194;5852;0;14:28;5808;44;14;28;0;0;
202;12;23/2/22;13:19;33;12;43;41;63151;634;4169;13:36;24;1103;96;264;20210;264;13:53;195;84;DIA;194;84;5676;0;14:47;5720;0;14;47;0;0;
202;12;23/2/22;13:38;34;12;43;41;62835;619;4148;13:56;24;1101;96;232;20108;254;14:13;85;217;DIA;85;217;5764;44;15:7;5764;44;15;7;0;0;
202;12;23/2/22;13:58;35;12;43;41;62990;624;4158;14:15;24;1104;96;236;20159;266;14:32;217;111;DIA;217;111;5852;65492;15:27;5852;0;15;26;0;0;
202;12;23/2/22;14:17;36;12;43;41;62951;610;4155;14:35;24;1102;96;201;20148;273;14:52;112;239;DIA;112;239;5632;0;15:46;5588;44;15;45;0;0;
202;12;23/2/22;14:37;37;12;43;41;62773;619;4144;14:55;24;1103;96;198;20087;241;15:11;1;131;DIA;239;131;5676;44;16:5;5720;44;16;5;0;0;
202;12;23/2/22;14:57;38;12;43;41;62788;613;4145;15:13;24;1096;96;196;20097;249;15:30;131;21;DIA;131;21;5720;65492;16:24;5720;0;16;24;0;0;
