TIPO;NUMERO DE ESTACION;DIA INICIO/MES INICIO/AÑO INICIO;HORA INICIO:MINUTO INICIO;NUMERO DE MEZCLA;NUMERO DE PREMEZCLA;NUMERO DE BATCH;NUMERO RECETA;PESADA DE CORCHO;MINUTOS PESADA;PESADA D.U;TIEMPO VACIADO (1):TIEMPO VACIADO (2);TIEMPO INYECCION AGUA (s);PESADA INYECCION AGUA;TIEMPO MEZCLA AGUA;TIEMPO INYECCION COLA;PESADA INYECCION COLA;TIEMPO MEZCLA COLA;TIEMPO VACIADO MEZC. MED(1):TIEMPO VACIADO MEZC. MED(2);MOLDE INICIAL EXT1;MOLDE FINAL EXT1;NOMBRE RECETA;MOLDE INICIAL EXT2;MOLDE FINAL EXT2;TAPONES BUENOS G1;TAPONES MALOS G1;TIEMPO EXTRACC. G1 (1):TIEMPO EXTRACC. G1 (2);TAPONES BUENOS G2;TAPONES MALOS G2;TIEMPO EXTRACC. G2 (1):TIEMPO EXTRACC. G2 (2);TAPONES BUENOS DESC G1;TAPONES BUENOS DESC G2;
202;12;10/9/22;22:46;76;12;189;54;58604;607;4748;23:1;0;0;0;464;29302;562;23:14;28;141;DIP;28;141;4972;44;0:6;4972;44;0;6;0;0;
202;12;10/9/22;23:3;77;12;189;54;59055;602;4784;23:18;0;0;0;452;29527;556;23:31;141;19;DIP;141;19;5192;65492;0:24;5192;0;0;24;0;0;
202;12;10/9/22;23:20;78;12;189;54;58796;600;4763;23:35;0;0;0;441;29405;500;23:48;20;133;DIP;20;133;5016;0;0:41;5016;0;0;41;0;0;
202;12;10/9/22;23:37;79;12;189;54;58810;602;4764;23:52;0;0;0;440;29405;518;0:6;134;20;DIP;134;20;5192;0;1:0;5368;0;1;0;0;0;
202;12;11/9/22;0:13;1;12;189;54;58847;651;4708;0:29;0;0;0;551;29425;551;0:43;143;19;DIP;143;19;5104;0;1:36;5104;0;1;36;0;0;
202;12;11/9/22;0:31;2;12;189;54;58826;605;4765;0:46;0;0;0;514;29415;517;1:1;20;138;DIP;20;138;5236;0;1:54;5236;0;1;54;0;0;
202;12;11/9/22;3:49;6;12;189;54;58845;617;4767;4:4;0;0;0;533;29425;533;4:22;123;212;DIP;123;212;3960;0;5:11;3960;0;5;11;0;0;
202;12;11/9/22;3:49;6;12;189;54;58845;617;4767;4:4;0;0;0;533;29425;533;4:22;123;212;DIP;123;212;3960;0;5:11;3960;0;5;11;0;0;
202;12;11/9/22;4:27;8;12;189;54;56555;594;4582;4:42;0;0;0;445;28280;505;4:54;93;208;DIP;93;208;5104;0;5:47;5104;0;5;47;0;0;
202;12;11/9/22;4:27;8;12;189;54;56555;594;4582;4:42;0;0;0;445;28280;505;4:54;93;208;DIP;93;208;5104;0;5:47;5104;0;5;47;0;0;
202;12;11/9/22;5:1;10;12;189;54;58671;612;4753;5:17;0;0;0;496;29343;496;5:29;88;203;DIP;88;203;5104;0;6:22;5104;0;6;22;0;0;
202;12;11/9/22;5:18;11;12;189;54;58872;615;4710;5:34;0;0;0;441;29446;499;5:47;204;80;DIP;204;80;5104;0;6:40;5104;0;6;39;0;0;
202;12;11/9/22;5:36;12;12;189;54;58846;612;4767;5:51;0;0;0;463;29425;489;6:4;81;196;DIP;81;196;5104;0;6:57;5104;0;6;57;0;0;
202;12;11/9/22;5:53;13;12;189;54;58912;610;4772;6:8;0;0;0;492;29456;502;6:22;197;77;DIP;197;77;5280;0;7:15;5280;0;7;15;0;0;
202;12;11/9/22;6:27;15;12;189;54;58926;611;4774;6:43;0;0;0;590;29466;590;6:59;204;82;DIP;204;82;5192;0;7:52;5192;0;7;52;0;0;
202;12;11/9/22;13:41;21;12;189;54;58927;766;4774;13:58;0;0;0;532;29466;532;14:18;177;28;DIP;177;28;4004;0;15:6;4004;0;15;5;0;0;
202;12;11/9/22;14:0;22;12;189;54;58767;756;4761;14:21;0;0;0;481;29384;481;14:32;29;148;DIP;29;148;5280;0;15:23;5280;0;15;23;0;0;
202;12;11/9/22;14:23;23;12;189;54;54019;702;4376;14:40;0;0;0;492;27011;492;14:49;149;34;DIP;149;34;5500;0;15:41;5500;0;15;41;0;0;
202;12;11/9/22;14:41;24;12;189;54;54007;707;4375;14:58;0;0;0;465;27011;465;15:7;35;160;DIP;35;156;5544;0;15:59;5368;0;15;59;0;0;
