TIPO;NUMERO DE ESTACION;DIA INICIO/MES INICIO/AÑO INICIO;HORA INICIO:MINUTO INICIO;NUMERO DE MEZCLA;NUMERO DE PREMEZCLA;NUMERO DE BATCH;NUMERO RECETA;PESADA DE CORCHO;MINUTOS PESADA;PESADA D.U;TIEMPO VACIADO (1):TIEMPO VACIADO (2);TIEMPO INYECCION AGUA (s);PESADA INYECCION AGUA;TIEMPO MEZCLA AGUA;TIEMPO INYECCION COLA;PESADA INYECCION COLA;TIEMPO MEZCLA COLA;TIEMPO VACIADO MEZC. MED(1):TIEMPO VACIADO MEZC. MED(2);MOLDE INICIAL EXT1;MOLDE FINAL EXT1;NOMBRE RECETA;MOLDE INICIAL EXT2;MOLDE FINAL EXT2;TAPONES BUENOS G1;TAPONES MALOS G1;TIEMPO EXTRACC. G1 (1):TIEMPO EXTRACC. G1 (2);TAPONES BUENOS G2;TAPONES MALOS G2;TIEMPO EXTRACC. G2 (1):TIEMPO EXTRACC. G2 (2);TAPONES BUENOS DESC G1;TAPONES BUENOS DESC G2;
202;12;10/7/22;22:38;60;12;128;41;70137;651;4630;22:57;59;2031;1;244;22450;307;23:15;20;155;DIA;20;155;5896;0;0:12;5984;0;0;12;0;0;
202;12;10/7/22;22:59;61;12;128;41;70123;657;4559;23:18;59;2027;1;248;22440;300;23:36;156;52;DIA;156;52;5984;0;0:32;5984;0;0;32;0;0;
202;12;10/7/22;23:19;62;12;128;41;70009;653;4621;23:38;59;2027;1;224;22409;316;23:57;54;189;DIA;53;189;5896;44;0:53;5984;44;0;53;0;0;
202;12;11/7/22;0:1;1;12;128;41;69959;654;4618;0:20;59;2029;1;236;22388;300;0:38;86;221;DIA;86;221;5940;65492;1:35;5984;0;1;35;0;0;
202;12;11/7/22;0:22;2;12;128;41;70060;646;4624;0:41;59;2026;1;234;22419;300;0:59;222;114;DIA;222;114;5764;0;1:55;5808;0;1;55;0;0;
202;12;11/7/22;1:24;5;12;128;41;69972;642;4619;1:42;59;2035;1;257;22399;300;1:59;139;58;DIA;139;61;6952;0;2:57;7128;0;2;57;0;0;
202;12;11/7/22;3:52;6;12;128;41;70013;674;4621;4:7;58;2030;2;275;22409;300;4:14;36;144;DIA;35;144;4708;0;5:7;4840;0;5;7;0;0;
202;12;11/7/22;4:9;7;12;128;41;70496;643;4653;4:24;59;2040;1;270;22562;300;4:31;145;35;DIA;145;35;5720;0;5:27;5720;0;5;27;0;0;
202;12;11/7/22;4:26;8;12;128;41;70260;652;4638;4:41;59;2040;1;281;22491;303;4:51;36;171;DIA;36;171;5896;0;5:47;5984;0;5;47;0;0;
202;12;11/7/22;4:43;9;12;128;41;70453;659;4650;4:58;59;2035;1;277;22552;300;5:12;172;65;DIA;172;65;5808;0;6:8;5852;0;6;7;0;0;
