HORA;Tª HORNO CALIENTE;CANAL DE AIRE;Tª HORNO FRIO;INFR. SX;INFR. DX;
0:00:01;123;174,3;70;750;5243;
0:01:01;123;174,3;70;748;5243;
0:02:01;123;174;70;755;5243;
0:03:01;123;173,8;70;757;5243;
0:04:01;123;173,9;70;755;5244;
0:05:01;123;174,5;70;759;5242;
0:06:01;123;175,2;70;758;5242;
0:07:01;123;175,8;70;761;5242;
0:08:01;123;175,7;70;760;5243;
0:09:01;123;175,1;70;766;5243;
0:10:01;123;174,4;70;758;5243;
0:11:01;123;174,1;70;757;5243;
0:12:01;123;174,1;70;757;5242;
0:13:01;123;174,2;70;764;5242;
0:14:01;123;174,3;70;765;5242;
0:15:01;123;174,1;70;757;5243;
0:16:01;123;173,8;70;763;5242;
0:17:01;123;173,8;70;762;5243;
0:18:01;123;173,8;70;762;5242;
0:19:01;123;173,9;70;763;5242;
0:20:01;123;174,1;70;759;5243;
0:21:02;123;174,4;70;765;5242;
0:22:01;123;174,7;70;755;5243;
0:23:01;123;175,1;70;760;5243;
0:24:01;123;175,8;70;757;5243;
0:25:01;123;176,2;70;758;5243;
0:26:01;123;176;70;763;5243;
0:27:01;123;175,7;70;758;5242;
0:28:01;123;175,5;70;755;5242;
0:29:01;123;175,6;70;750;5244;
0:30:02;123;175,9;70;756;5243;
0:31:01;123;176,2;70;757;5244;
0:32:01;123;176,2;70;758;5243;
0:33:01;123;175,5;70;754;5243;
0:34:01;123;174,5;70;752;5244;
0:35:01;123;173,8;70;751;5242;
0:36:01;123;173,5;70;759;5243;
0:37:01;123;173,6;70;758;5244;
0:38:01;123;173,6;70;762;5244;
0:39:01;123;173,7;70;755;5242;
0:40:01;123;173,6;70;756;5242;
0:41:01;123;173,6;70;761;5243;
0:42:01;123;173,6;70;753;5243;
0:43:01;123;173,7;70;762;5244;
0:44:01;123;173,9;70;764;5243;
0:45:01;123;174;70;761;5243;
0:46:01;123;174;70;761;5243;
0:47:01;123;174;70;763;5244;
0:48:01;123;174,1;70;761;5244;
0:49:01;123;174,4;70;758;5243;
0:50:01;123;174,7;70;743;5242;
0:51:01;123;174,8;70;756;5243;
0:52:01;123;175,3;70;760;5245;
0:53:01;123;175,9;70;758;5244;
0:54:01;123;176,4;70;755;5243;
0:55:01;123;176,4;70;756;5244;
0:56:01;123;176,1;70;762;5244;
0:57:01;123;175,5;70;754;5244;
0:58:01;123;175,3;70;754;5244;
0:59:01;123;175,3;69;750;5243;
1:00:02;123;175,4;69;752;5244;
1:01:01;123;175,4;69;748;5242;
1:02:01;123;175,5;69;745;5244;
1:03:01;123;175,5;69;745;5244;
1:04:01;123;175,4;69;752;5244;
1:05:01;123;175,3;69;745;5243;
1:06:01;123;175,3;69;749;5245;
1:07:01;123;175,4;69;740;5244;
1:08:01;123;175,2;69;742;5243;
1:09:01;123;175;69;742;5245;
1:10:01;123;175,1;69;747;5245;
1:11:01;123;175,6;69;742;5245;
1:12:01;123;176,1;69;742;5245;
1:13:01;123;176,2;69;750;5245;
1:14:01;123;175,9;69;742;5244;
1:15:01;123;175,4;69;748;5243;
1:16:01;123;175,1;69;745;5244;
1:17:01;123;174,9;69;747;5244;
1:18:01;123;174,9;69;750;5244;
1:19:01;123;175;69;746;5245;
1:20:01;123;175,3;69;751;5244;
1:21:01;123;175,4;69;753;5244;
1:22:01;123;175,6;69;759;5244;
1:23:01;123;175,6;69;755;5243;
1:24:01;123;175,3;69;755;5245;
1:25:01;123;175;69;767;5245;
1:26:01;123;175;69;750;5244;
1:27:01;123;175,2;69;752;5245;
1:28:01;123;175,4;69;751;5245;
1:29:01;123;175,6;69;754;5245;
1:30:01;123;175,7;69;755;5244;
1:31:01;123;175,9;69;750;5243;
1:32:01;123;176,3;69;748;5244;
1:33:01;123;176,8;69;749;5245;
1:34:01;123;176,7;69;753;5244;
1:35:01;123;176,5;69;751;5245;
1:36:01;123;176,4;69;751;5244;
1:37:01;123;176,1;69;746;5245;
1:38:01;123;176;68;747;5245;
1:39:01;123;176,1;68;751;5244;
1:40:01;123;175,9;68;746;5244;
1:41:01;123;175,7;68;741;5245;
1:42:01;123;175,5;68;744;5245;
1:43:01;123;175,4;68;740;5244;
1:44:01;123;175,6;68;740;5244;
1:45:01;123;175,7;68;741;5244;
1:46:01;123;175,5;68;740;5245;
1:47:01;123;175,4;68;741;5244;
1:48:01;123;175,4;68;738;5245;
1:49:01;123;175,6;68;739;5245;
1:50:01;123;175,8;68;737;5244;
1:51:01;123;176,1;69;740;5244;
1:52:01;123;176,1;69;737;5243;
1:53:01;123;176,3;69;742;5245;
1:54:01;123;176,2;69;744;5244;
1:55:01;123;176;69;748;5245;
1:56:01;123;175,8;69;750;5245;
1:57:01;123;175,7;69;757;5245;
1:58:01;123;175,6;69;749;5245;
1:59:01;123;175,7;69;752;5245;
2:00:01;123;175,7;69;745;5244;
2:01:01;123;175,5;69;750;5245;
2:02:01;123;175,2;69;742;5245;
2:03:01;123;175,3;69;748;5245;
2:04:01;123;175,3;69;748;5243;
2:05:01;123;175,1;69;745;5244;
2:06:01;123;175;69;750;5246;
2:07:01;123;174,8;69;745;5245;
2:08:01;123;175;69;750;5245;
2:09:01;123;175,6;69;748;5245;
2:10:01;123;176,4;69;750;5245;
2:11:01;123;177,1;69;754;5245;
2:12:01;123;177,4;69;750;5245;
2:13:01;123;177,3;69;750;5245;
2:14:01;123;176,9;69;743;5244;
2:15:01;123;176,2;69;750;5244;
2:16:01;123;175,8;69;751;5245;
2:17:01;123;175,5;69;742;5245;
2:18:01;123;175,3;69;741;5245;
2:19:01;123;175,2;69;750;5245;
2:20:01;123;175,1;69;745;5245;
2:21:01;123;174,9;69;749;5245;
2:22:01;123;175;69;754;5245;
