TIPO;NUMERO DE ESTACION;DIA INICIO/MES INICIO/AÑO INICIO;HORA INICIO:MINUTO INICIO;NUMERO DE MEZCLA;NUMERO DE PREMEZCLA;NUMERO DE BATCH;NUMERO RECETA;PESADA DE CORCHO;MINUTOS PESADA;PESADA D.U;TIEMPO VACIADO (1):TIEMPO VACIADO (2);TIEMPO INYECCION AGUA (s);PESADA INYECCION AGUA;TIEMPO MEZCLA AGUA;TIEMPO INYECCION COLA;PESADA INYECCION COLA;TIEMPO MEZCLA COLA;TIEMPO VACIADO MEZC. MED(1):TIEMPO VACIADO MEZC. MED(2);MOLDE INICIAL EXT1;MOLDE FINAL EXT1;NOMBRE RECETA;MOLDE INICIAL EXT2;MOLDE FINAL EXT2;TAPONES BUENOS G1;TAPONES MALOS G1;TIEMPO EXTRACC. G1 (1):TIEMPO EXTRACC. G1 (2);TAPONES BUENOS G2;TAPONES MALOS G2;TIEMPO EXTRACC. G2 (1):TIEMPO EXTRACC. G2 (2);TAPONES BUENOS DESC G1;TAPONES BUENOS DESC G2;
202;13;19/7/22;22:7;33;13;158;39;54792;685;2795;22:57;31;1189;0;366;27399;508;23:12;184;76;DIT;184;76;5808;0;0:7;5808;0;0;7;0;0;
202;13;19/7/22;23:0;34;13;158;39;55601;540;2781;23:14;32;1203;0;388;27820;506;23:32;77;217;DIT;77;217;6204;0;0:28;6204;0;0;28;0;0;
202;13;19/7/22;23:16;35;13;158;39;54994;514;2805;23:34;32;1200;0;392;27513;515;23:53;218;111;DIT;218;111;5852;0;0:48;5852;0;0;48;0;0;
202;13;19/7/22;23:36;36;13;158;39;55222;517;2762;23:55;32;1198;0;362;27628;525;0:13;112;14;DIT;112;13;6248;0;1:10;6204;0;1;9;0;0;
202;13;20/7/22;0:17;1;13;158;39;55141;512;2813;0:36;31;1198;0;374;27590;510;0:54;149;49;DIT;149;49;6160;0;1:51;6160;0;1;51;0;0;
202;13;20/7/22;0:38;2;13;158;39;55211;527;2761;0:56;31;1209;0;362;27628;524;1:15;50;184;DIT;50;184;5940;0;2:13;5940;0;2;13;0;0;
202;13;20/7/22;0:58;3;13;158;39;55148;513;2813;1:17;32;1200;0;354;27590;506;1:35;185;83;DIT;185;83;6072;0;2:34;6072;0;2;34;0;0;
202;13;20/7/22;0:58;3;13;158;39;55148;513;2813;1:17;32;1200;0;354;27590;506;1:35;185;83;DIT;185;83;6072;0;2:34;6072;0;2;34;0;0;
202;13;20/7/22;0:58;3;13;158;39;55148;513;2813;1:17;32;1200;0;354;27590;506;1:35;185;83;DIT;185;83;6072;0;2:34;6072;0;2;34;0;0;
202;13;20/7/22;1:19;4;13;158;39;55181;510;2760;1:38;32;1201;0;353;27590;521;1:56;84;220;DIT;84;220;5632;0;2:55;5852;44;2;55;0;0;
