TIPO;NUMERO DE ESTACION;DIA INICIO/MES INICIO/AÑO INICIO;HORA INICIO:MINUTO INICIO;NUMERO DE MEZCLA;NUMERO DE PREMEZCLA;NUMERO DE BATCH;NUMERO RECETA;PESADA DE CORCHO;MINUTOS PESADA;PESADA D.U;TIEMPO VACIADO (1):TIEMPO VACIADO (2);TIEMPO INYECCION AGUA (s);PESADA INYECCION AGUA;TIEMPO MEZCLA AGUA;TIEMPO INYECCION COLA;PESADA INYECCION COLA;TIEMPO MEZCLA COLA;TIEMPO VACIADO MEZC. MED(1):TIEMPO VACIADO MEZC. MED(2);MOLDE INICIAL EXT1;MOLDE FINAL EXT1;NOMBRE RECETA;MOLDE INICIAL EXT2;MOLDE FINAL EXT2;TAPONES BUENOS G1;TAPONES MALOS G1;TIEMPO EXTRACC. G1 (1):TIEMPO EXTRACC. G1 (2);TAPONES BUENOS G2;TAPONES MALOS G2;TIEMPO EXTRACC. G2 (1):TIEMPO EXTRACC. G2 (2);TAPONES BUENOS DESC G1;TAPONES BUENOS DESC G2;
202;1;3/7/22;23:0;64;1;227;41;70719;482;4597;23:19;21;628;99;233;22649;300;23:36;125;23;DIA;125;23;6072;0;0:0;6116;0;0;0;0;0;
202;1;3/7/22;23:21;65;1;227;41;71093;484;4551;23:39;22;635;98;236;22771;300;23:57;24;167;DIA;24;167;6336;0;0:0;6336;0;0;0;0;0;
202;1;3/7/22;23:21;65;1;227;41;71093;484;4551;23:39;22;635;98;236;22771;300;23:57;24;167;DIA;24;167;6336;0;0:0;6336;0;0;0;0;0;
202;1;3/7/22;23:21;65;1;227;41;71093;484;4551;23:39;22;635;98;236;22771;300;23:57;24;167;DIA;24;167;6336;0;0:0;6336;0;0;0;0;0;
202;1;4/7/22;0:2;1;1;227;41;70933;486;4611;0:22;21;628;99;288;22730;300;0:38;60;205;DIA;60;205;6380;65492;0:0;6424;0;0;0;0;0;
202;1;4/7/22;0:24;2;1;227;41;70559;502;4587;0:42;21;627;99;259;22608;300;1:0;206;101;DIA;206;101;5984;0;0:0;5984;0;0;0;0;0;
202;1;4/7/22;0:24;2;1;227;41;70559;502;4587;0:42;21;627;99;259;22608;300;1:0;206;101;DIA;206;101;5984;0;0:0;5984;0;0;0;0;0;
202;1;4/7/22;0:44;3;1;227;41;70625;484;4591;1:4;22;637;98;258;22608;300;1:21;102;9;DIA;102;9;6468;0;0:0;6512;0;0;0;0;0;
202;1;4/7/22;1:6;4;1;227;41;70481;519;4582;1:24;21;630;98;243;22567;300;1:43;10;148;DIA;10;148;6116;0;0:0;6116;0;0;0;0;0;
202;1;4/7/22;1:6;4;1;227;41;70481;519;4582;1:24;21;630;98;243;22567;300;1:43;10;148;DIA;10;148;6116;0;0:0;6116;0;0;0;0;0;
