TIPO;NUMERO DE ESTACION;DIA INICIO/MES INICIO/AÑO INICIO;HORA INICIO:MINUTO INICIO;NUMERO DE MEZCLA;NUMERO DE PREMEZCLA;NUMERO DE BATCH;NUMERO RECETA;PESADA DE CORCHO;MINUTOS PESADA;PESADA D.U;TIEMPO VACIADO (1):TIEMPO VACIADO (2);TIEMPO INYECCION AGUA (s);PESADA INYECCION AGUA;TIEMPO MEZCLA AGUA;TIEMPO INYECCION COLA;PESADA INYECCION COLA;TIEMPO MEZCLA COLA;TIEMPO VACIADO MEZC. MED(1):TIEMPO VACIADO MEZC. MED(2);MOLDE INICIAL EXT1;MOLDE FINAL EXT1;NOMBRE RECETA;MOLDE INICIAL EXT2;MOLDE FINAL EXT2;TAPONES BUENOS G1;TAPONES MALOS G1;TIEMPO EXTRACC. G1 (1):TIEMPO EXTRACC. G1 (2);TAPONES BUENOS G2;TAPONES MALOS G2;TIEMPO EXTRACC. G2 (1):TIEMPO EXTRACC. G2 (2);TAPONES BUENOS DESC G1;TAPONES BUENOS DESC G2;
202;1;21/3/22;22:59;63;1;90;41;70570;468;4517;23:18;14;432;106;313;22608;400;23:32;112;4;DIA;112;4;5852;65492;0:0;5852;0;0;0;0;0;
202;1;21/3/22;23:20;64;1;90;41;70277;460;4498;23:37;14;424;106;311;22527;400;23:51;5;135;DIA;5;135;5764;0;0:0;5764;0;0;0;0;0;
202;1;21/3/22;23:39;65;1;90;41;70236;465;4496;23:56;14;426;106;283;22486;400;0:10;136;31;DIA;136;31;5984;0;0:0;5984;0;0;0;0;0;
202;1;22/3/22;0:17;1;1;90;41;70415;591;4578;0:34;15;422;105;256;22567;400;0:48;162;48;DIA;164;48;5588;0;0:0;5500;0;0;0;0;0;
202;1;22/3/22;0:36;2;1;90;41;70427;483;4508;0:52;14;425;106;249;22567;400;1:6;49;181;DIA;51;181;5808;44;0:0;5720;44;0;0;0;0;
202;1;22/3/22;0:55;3;1;90;41;70431;514;4508;1:11;14;430;106;242;22567;400;1:25;181;75;DIA;181;76;5940;65492;0:0;5852;44;1;58;0;0;
202;1;22/3/22;1:13;4;1;90;41;70301;519;4500;1:29;14;417;106;243;22527;400;1:44;76;212;DIA;76;212;6028;0;0:0;6028;0;0;0;0;0;
202;1;22/3/22;1:32;5;1;90;41;70189;490;4493;1:49;13;415;107;264;22486;400;2:3;213;109;DIA;213;109;5984;44;0:0;5984;44;0;0;0;0;
202;1;22/3/22;1:51;6;1;90;41;70289;472;4499;2:8;14;425;106;257;22527;400;2:23;109;6;DIA;109;6;6028;0;0:0;6028;44;0;0;0;0;
202;1;22/3/22;2:11;7;1;90;41;70355;466;4503;2:28;14;421;106;250;22527;400;2:42;6;141;DIA;6;141;5940;0;0:0;5940;44;0;0;0;0;
202;1;22/3/22;2:30;8;1;90;41;70409;473;4507;2:47;14;425;106;242;22567;400;3:1;141;34;DIA;141;34;5852;0;0:0;5852;44;0;0;0;0;
202;1;22/3/22;2:49;9;1;90;41;70245;468;4496;3:6;14;428;106;240;22486;400;3:20;34;171;DIA;34;171;6072;65492;0:0;6072;0;0;0;0;0;
202;1;22/3/22;3:9;10;1;90;41;70274;465;4498;3:25;14;422;106;251;22527;400;3:40;172;67;DIA;172;67;5984;0;0:0;5984;0;0;0;0;0;
202;1;22/3/22;3:28;11;1;90;41;70385;467;4505;3:45;14;430;106;260;22527;400;3:59;68;204;DIA;68;204;5984;44;0:0;6028;0;0;0;0;0;
202;1;22/3/22;3:47;12;1;90;41;70537;470;4515;4:4;14;421;106;271;22608;400;4:19;204;97;DIA;205;97;5896;65492;0:0;5852;0;0;0;0;0;
202;1;22/3/22;4:6;13;1;90;41;70393;474;4506;4:24;15;431;105;297;22527;400;4:38;98;239;DIA;98;239;6248;0;0:0;6248;0;0;0;0;0;
202;1;22/3/22;4:26;14;1;90;41;70390;469;4505;4:43;15;424;105;279;22527;400;4:58;240;131;DIA;240;131;5808;0;0:0;5808;0;0;0;0;0;
202;1;22/3/22;4:45;15;1;90;41;70493;485;4583;5:3;14;435;106;256;22567;400;5:17;132;26;DIA;132;26;5940;0;0:0;5940;0;0;0;0;0;
202;1;22/3/22;5:5;16;1;90;41;70536;485;4515;5:22;14;428;106;252;22608;400;5:36;27;165;DIA;27;165;6072;44;0:0;6072;44;0;0;0;0;
202;1;22/3/22;5:24;17;1;90;41;70342;496;4502;5:41;14;420;106;261;22527;400;5:56;165;58;DIA;165;58;5852;0;0:0;5852;44;0;0;0;0;
