TIPO;NUMERO DE ESTACION;DIA INICIO/MES INICIO/AÑO INICIO;HORA INICIO:MINUTO INICIO;NUMERO DE MEZCLA;NUMERO DE PREMEZCLA;NUMERO DE BATCH;NUMERO RECETA;PESADA DE CORCHO;MINUTOS PESADA;PESADA D.U;TIEMPO VACIADO (1):TIEMPO VACIADO (2);TIEMPO INYECCION AGUA (s);PESADA INYECCION AGUA;TIEMPO MEZCLA AGUA;TIEMPO INYECCION COLA;PESADA INYECCION COLA;TIEMPO MEZCLA COLA;TIEMPO VACIADO MEZC. MED(1):TIEMPO VACIADO MEZC. MED(2);MOLDE INICIAL EXT1;MOLDE FINAL EXT1;NOMBRE RECETA;MOLDE INICIAL EXT2;MOLDE FINAL EXT2;TAPONES BUENOS G1;TAPONES MALOS G1;TIEMPO EXTRACC. G1 (1):TIEMPO EXTRACC. G1 (2);TAPONES BUENOS G2;TAPONES MALOS G2;TIEMPO EXTRACC. G2 (1):TIEMPO EXTRACC. G2 (2);TAPONES BUENOS DESC G1;TAPONES BUENOS DESC G2;
202;1;1/3/22;23:1;29;1;69;41;70606;481;4590;23:20;24;776;96;229;22608;350;23:34;132;30;DIA;132;30;6116;0;0:0;6116;0;0;0;0;0;
202;1;1/3/22;23:22;30;1;69;41;70590;474;4518;23:39;23;774;97;242;22608;350;23:54;31;164;DIA;31;164;5896;0;0:0;5896;0;0;0;0;0;
202;1;2/3/22;0:1;1;1;69;41;70934;474;4540;0:18;24;780;96;226;22730;350;0:32;61;193;DIA;61;193;5808;44;0:0;5808;44;0;0;0;0;
202;1;2/3/22;0:20;2;1;69;41;70757;463;4529;0:37;23;783;97;257;22649;350;0:53;193;80;DIA;193;80;5632;65492;0:0;5632;0;0;0;0;0;
202;1;2/3/22;0:39;3;1;69;41;71089;467;4550;0:57;24;778;96;220;22771;350;1:11;81;216;DIA;81;217;5984;0;0:0;5940;44;1;45;0;0;
202;1;2/3/22;0:59;4;1;69;41;70418;471;4507;1:16;24;783;96;192;22567;350;1:31;217;103;DIA;217;103;5588;0;0:0;5588;0;0;0;0;0;
202;1;2/3/22;1:18;5;1;69;41;71015;492;4545;1:35;24;778;96;187;22730;350;1:49;104;236;DIA;104;236;5808;44;0:0;5808;44;0;0;0;0;
202;1;2/3/22;1:37;6;1;69;41;70587;486;4518;1:53;23;776;97;187;22608;350;2:7;236;127;DIA;236;127;5808;65492;0:0;5808;0;0;0;0;0;
202;1;2/3/22;1:55;7;1;69;41;71096;471;4551;2:12;24;778;96;188;22771;350;2:26;128;18;DIA;128;18;5764;0;0:0;5764;0;0;0;0;0;
202;1;2/3/22;2:14;8;1;69;41;70970;473;4543;2:30;24;779;96;210;22730;350;2:45;19;155;DIA;19;155;6028;0;0:0;6028;0;0;0;0;0;
202;1;2/3/22;2:33;9;1;69;41;71004;466;4545;2:49;24;776;96;187;22730;350;3:4;156;46;DIA;156;46;5764;0;0:0;5764;0;0;0;0;0;
202;1;2/3/22;2:52;10;1;69;41;70815;477;4533;3:9;23;776;97;198;22690;350;3:23;47;185;DIA;47;185;6072;44;0:0;6072;44;0;0;0;0;
202;1;2/3/22;3:11;11;1;69;41;70692;469;4595;3:28;24;775;96;209;22649;350;3:43;185;89;DIA;185;89;6380;65492;0:0;6380;0;0;0;0;0;
202;1;2/3/22;3:30;12;1;69;41;70947;476;4541;3:48;24;778;96;207;22730;350;4:3;90;225;DIA;90;225;5984;0;0:0;5984;0;0;0;0;0;
202;1;2/3/22;3:50;13;1;69;41;71131;470;4553;4:8;23;777;97;224;22771;350;4:23;226;128;DIA;226;128;6248;44;0:0;6248;44;0;0;0;0;
202;1;2/3/22;4:10;14;1;69;41;70908;477;4539;4:27;24;780;96;228;22690;350;4:43;128;30;DIA;128;30;6248;0;0:0;6248;44;0;0;0;0;
202;1;2/3/22;4:30;15;1;69;41;70635;475;4521;4:48;24;790;96;247;22608;350;5:3;30;172;DIA;30;172;6292;65492;0:0;6292;0;0;0;0;0;
202;1;2/3/22;4:50;16;1;69;41;70626;466;4521;5:8;24;780;96;274;22608;350;5:24;173;73;DIA;173;74;6204;0;0:0;6204;44;0;0;0;0;
202;1;2/3/22;4:50;16;1;69;41;70626;466;4521;5:8;24;780;96;274;22608;350;5:24;173;73;DIA;173;74;6204;0;6:17;6204;44;6;17;0;0;
202;1;2/3/22;4:50;16;1;69;41;70626;466;4521;5:8;24;780;96;274;22608;350;5:24;173;73;DIA;173;74;6204;0;6:17;6204;44;6;17;0;0;
