TIPO;NUMERO DE ESTACION;DIA INICIO/MES INICIO/AÑO INICIO;HORA INICIO:MINUTO INICIO;NUMERO DE MEZCLA;NUMERO DE PREMEZCLA;NUMERO DE BATCH;NUMERO RECETA;PESADA DE CORCHO;MINUTOS PESADA;PESADA D.U;TIEMPO VACIADO (1):TIEMPO VACIADO (2);TIEMPO INYECCION AGUA (s);PESADA INYECCION AGUA;TIEMPO MEZCLA AGUA;TIEMPO INYECCION COLA;PESADA INYECCION COLA;TIEMPO MEZCLA COLA;TIEMPO VACIADO MEZC. MED(1):TIEMPO VACIADO MEZC. MED(2);MOLDE INICIAL EXT1;MOLDE FINAL EXT1;NOMBRE RECETA;MOLDE INICIAL EXT2;MOLDE FINAL EXT2;TAPONES BUENOS G1;TAPONES MALOS G1;TIEMPO EXTRACC. G1 (1):TIEMPO EXTRACC. G1 (2);TAPONES BUENOS G2;TAPONES MALOS G2;TIEMPO EXTRACC. G2 (1):TIEMPO EXTRACC. G2 (2);TAPONES BUENOS DESC G1;TAPONES BUENOS DESC G2;
202;1;24/3/22;23:9;38;1;95;41;70539;527;4515;23:26;20;637;100;300;22608;400;23:44;84;213;DIA;84;213;5720;0;0:0;5720;0;0;0;0;0;
202;1;24/3/22;23:28;39;1;95;41;70564;511;4517;23:46;19;633;101;316;22608;400;0:2;214;100;DIA;214;100;5544;44;0:0;5544;44;0;0;0;0;
202;1;25/3/22;0:7;1;1;96;41;70299;520;4500;0:23;20;639;100;295;22527;400;0:39;232;129;DIA;232;129;6072;0;0:0;6072;0;0;0;0;0;
202;1;25/3/22;0:25;2;1;96;41;70187;544;4493;0:42;19;628;101;289;22486;400;0:59;130;18;DIA;130;18;5632;44;0:0;5632;44;0;0;0;0;
202;1;25/3/22;0:25;2;1;96;41;70187;544;4493;0:42;19;628;101;289;22486;400;0:59;130;18;DIA;130;18;5632;44;2:15;5632;44;2;15;5324;0;
202;1;25/3/22;0:25;2;1;96;41;70187;544;4493;0:42;19;628;101;289;22486;400;0:59;130;18;DIA;130;18;5632;44;2:15;5632;44;2;15;5324;0;
202;1;25/3/22;1:4;4;1;96;41;70258;526;4497;1:20;20;635;100;267;22486;4205;2:39;178;110;DIA;178;96;7612;0;0:0;6996;0;0;0;0;0;
202;1;25/3/22;1:4;4;1;96;41;70258;526;4497;1:20;20;635;100;267;22486;4205;2:39;178;110;DIA;178;96;7612;0;0:0;6996;0;0;0;0;0;
202;1;25/3/22;1:22;5;1;96;41;70525;485;4514;2:43;20;634;100;315;22608;400;3:10;150;19;DIA;149;19;4840;0;0:0;4884;0;0;0;0;0;
202;1;25/3/22;1:22;5;1;96;41;70525;485;4514;2:43;20;634;100;315;22608;400;3:10;150;19;DIA;149;19;4840;0;0:0;4884;0;0;0;0;0;
202;1;25/3/22;2:45;6;1;96;41;70321;475;4571;3:13;20;632;100;285;22527;400;3:26;20;151;DIA;20;151;5808;0;0:0;5808;0;0;0;0;0;
202;1;25/3/22;3:15;7;1;96;41;69769;489;4536;3:29;20;629;100;300;22364;400;3:45;152;40;DIA;152;40;5632;44;0:0;5676;0;0;0;0;0;
202;1;25/3/22;3:50;9;1;96;41;70631;491;4521;4:6;20;637;100;356;22608;400;4:23;173;65;DIA;173;65;5852;65492;0:0;5852;0;0;0;0;0;
202;1;25/3/22;4:8;10;1;96;41;70755;499;4529;4:26;20;644;100;367;22649;400;4:42;66;201;DIA;66;201;5984;0;0:0;5984;0;0;0;0;0;
202;1;25/3/22;4:28;11;1;97;41;70614;494;4590;4:45;19;632;101;371;22608;400;5:1;202;93;DIA;202;93;5808;0;0:0;5808;0;0;0;0;0;
202;1;25/3/22;4:47;12;1;97;41;70593;494;4448;5:4;19;634;101;323;22608;400;5:20;94;224;DIA;94;224;5764;0;0:0;5764;0;0;0;0;0;
202;1;25/3/22;5:6;13;1;97;41;70490;467;4512;5:23;20;637;100;322;22567;400;5:39;225;116;DIA;225;116;5808;0;0:0;5808;0;0;0;0;0;
