TIPO;NUMERO DE ESTACION;DIA INICIO/MES INICIO/AÑO INICIO;HORA INICIO:MINUTO INICIO;NUMERO DE MEZCLA;NUMERO DE PREMEZCLA;NUMERO DE BATCH;NUMERO RECETA;PESADA DE CORCHO;MINUTOS PESADA;PESADA D.U;TIEMPO VACIADO (1):TIEMPO VACIADO (2);TIEMPO INYECCION AGUA (s);PESADA INYECCION AGUA;TIEMPO MEZCLA AGUA;TIEMPO INYECCION COLA;PESADA INYECCION COLA;TIEMPO MEZCLA COLA;TIEMPO VACIADO MEZC. MED(1):TIEMPO VACIADO MEZC. MED(2);MOLDE INICIAL EXT1;MOLDE FINAL EXT1;NOMBRE RECETA;MOLDE INICIAL EXT2;MOLDE FINAL EXT2;TAPONES BUENOS G1;TAPONES MALOS G1;TIEMPO EXTRACC. G1 (1):TIEMPO EXTRACC. G1 (2);TAPONES BUENOS G2;TAPONES MALOS G2;TIEMPO EXTRACC. G2 (1):TIEMPO EXTRACC. G2 (2);TAPONES BUENOS DESC G1;TAPONES BUENOS DESC G2;
202;14;20/7/22;22:21;20;14;160;54;52821;622;4437;22:42;0;0;0;410;26416;717;23:4;100;202;DIP;100;202;4532;0;0:17;4532;0;0;17;0;
202;14;20/7/22;22:45;21;14;160;54;53024;608;4349;23:6;0;0;0;395;26512;634;23:26;203;68;DIP;203;68;4620;0;0:40;4620;0;0;40;0;
202;14;20/7/22;22:45;21;14;160;54;53024;608;4349;23:6;0;0;0;395;26512;634;23:26;203;68;DIP;203;68;4620;0;0:40;4620;0;0;40;0;
202;14;20/7/22;22:45;21;14;160;54;53024;608;4349;23:6;0;0;0;395;26512;634;23:26;203;68;DIP;203;68;4620;0;0:40;4620;0;0;40;0;
202;14;20/7/22;23:8;22;14;160;54;52878;612;4337;23:28;0;0;0;412;26444;642;23:49;69;172;DIP;69;172;4576;0;1:7;4576;0;1;7;0;
202;14;20/7/22;23:8;22;14;160;54;52878;612;4337;23:28;0;0;0;412;26444;642;23:49;69;172;DIP;69;172;4576;0;1:7;4576;0;1;7;0;
202;14;20/7/22;23:8;22;14;160;54;52878;612;4337;23:28;0;0;0;412;26444;642;23:49;69;172;DIP;69;172;4576;0;1:7;4576;0;1;7;0;
202;14;20/7/22;23:8;22;14;160;54;52878;612;4337;23:28;0;0;0;412;26444;642;23:49;69;172;DIP;69;172;4576;0;1:7;4576;0;1;7;0;
202;14;20/7/22;23:31;23;14;160;54;52928;614;4446;23:51;0;0;0;393;26464;616;0:12;173;33;DIP;173;33;4400;0;1:44;4400;0;1;43;0;
202;14;21/7/22;0:16;1;14;160;54;52915;620;4445;0:36;0;0;0;448;26464;587;0:58;138;2;DIP;138;2;4576;0;2:29;4576;0;2;29;0;
202;14;21/7/22;0:39;2;14;160;54;53258;601;4368;1:1;0;0;0;542;26637;1480;1:38;3;101;DIP;3;101;4356;0;2:50;4356;0;2;50;0;
202;14;21/7/22;1:3;3;14;160;54;53004;607;4347;1:40;0;0;0;413;26502;583;1:59;102;205;DIP;102;205;4576;0;3:13;4576;0;3;13;0;
202;14;21/7/22;1:42;4;14;160;54;52634;618;4316;2:2;0;0;0;489;26319;583;2:22;206;67;DIP;206;67;4444;0;3:35;4444;0;3;35;0;
202;14;21/7/22;2:4;5;14;160;54;52832;606;4438;2:24;0;0;0;537;26416;641;2:44;68;171;DIP;68;171;4576;0;3:57;4576;0;3;57;0;
202;14;21/7/22;2:26;6;14;160;54;52851;606;4387;2:46;0;0;0;502;26425;613;3:6;172;36;DIP;172;36;4532;44;4:20;4532;44;4;20;0;
202;14;21/7/22;2:49;7;14;160;54;52965;613;4344;3:8;0;0;0;574;26483;737;3:29;36;139;DIP;36;139;4576;0;4:43;4576;0;4;42;0;
202;14;21/7/22;3:11;8;14;160;54;52851;607;4440;3:31;0;0;0;494;26425;737;3:52;140;1;DIP;140;1;4444;0;5:4;4444;0;5;4;0;
202;14;21/7/22;3:33;9;14;160;54;53012;612;4348;3:54;0;0;0;463;26512;628;4:13;2;104;DIP;2;104;4532;0;5:27;4532;0;5;27;0;
202;14;21/7/22;3:56;10;14;160;54;52792;625;4382;4:15;0;0;0;488;26396;629;4:36;105;208;DIP;105;208;4576;0;5:50;4576;0;5;49;0;
202;14;21/7/22;4:18;11;14;160;54;52900;605;4391;4:38;0;0;0;432;26454;634;4:59;209;70;DIP;209;70;4444;0;6:11;4444;0;6;11;0;
202;14;21/7/22;4:41;12;14;160;54;52775;612;4381;5:1;0;0;0;484;26387;590;5:20;71;174;DIP;71;174;4576;0;6:34;4576;0;6;34;0;
202;14;21/7/22;5:3;13;14;160;54;52815;619;4331;5:22;0;0;0;471;26416;639;5:43;175;38;DIP;175;38;4532;0;6:56;4532;0;6;56;0;
202;14;21/7/22;5:25;14;14;160;54;52892;610;4444;5:45;0;0;0;499;26454;630;6:6;39;142;DIP;39;142;4576;0;7:19;4576;0;7;19;0;
202;14;21/7/22;5:47;15;14;160;54;52945;617;4342;6:8;0;0;0;530;26473;632;6:28;143;7;DIP;143;7;4576;0;7:42;4576;0;7;42;0;
202;14;21/7/22;6:10;16;14;160;54;52988;624;4346;6:30;0;0;0;574;26502;633;6:51;8;111;DIP;8;111;4576;0;8:4;4576;0;8;4;0;
202;14;21/7/22;6:33;17;14;160;54;52890;612;4390;6:53;0;0;0;514;26454;628;7:13;112;211;DIP;112;211;4400;0;8:26;4400;0;8;26;0;
202;14;21/7/22;6:55;18;14;160;54;53040;611;4350;7:15;0;0;0;515;26521;628;7:35;212;77;DIP;212;77;4620;0;8:49;4620;0;8;49;0;
202;14;21/7/22;6:55;18;14;160;54;53040;611;4350;7:15;0;0;0;515;26521;628;7:35;212;77;DIP;212;77;4620;0;8:49;4620;0;8;49;0;
