TIPO;NUMERO DE ESTACION;DIA INICIO/MES INICIO/AÑO INICIO;HORA INICIO:MINUTO INICIO;NUMERO DE MEZCLA;NUMERO DE PREMEZCLA;NUMERO DE BATCH;NUMERO RECETA;PESADA DE CORCHO;MINUTOS PESADA;PESADA D.U;TIEMPO VACIADO (1):TIEMPO VACIADO (2);TIEMPO INYECCION AGUA (s);PESADA INYECCION AGUA;TIEMPO MEZCLA AGUA;TIEMPO INYECCION COLA;PESADA INYECCION COLA;TIEMPO MEZCLA COLA;TIEMPO VACIADO MEZC. MED(1):TIEMPO VACIADO MEZC. MED(2);MOLDE INICIAL EXT1;MOLDE FINAL EXT1;NOMBRE RECETA;MOLDE INICIAL EXT2;MOLDE FINAL EXT2;TAPONES BUENOS G1;TAPONES MALOS G1;TIEMPO EXTRACC. G1 (1):TIEMPO EXTRACC. G1 (2);TAPONES BUENOS G2;TAPONES MALOS G2;TIEMPO EXTRACC. G2 (1):TIEMPO EXTRACC. G2 (2);TAPONES BUENOS DESC G1;TAPONES BUENOS DESC G2;
202;14;2/4/22;22:26;60;14;85;54;61550;671;5109;22:43;0;0;0;897;30778;897;23:0;231;103;DIP;230;111;4928;0;0:0;5324;0;0;1;0;
202;14;2/4/22;22:45;61;14;85;54;62022;685;5148;23:2;0;0;0;964;31018;964;23:21;113;223;DIP;112;233;4840;0;0:20;5324;0;0;21;0;
202;14;2/4/22;23:4;62;14;85;54;62077;713;5153;23:23;0;0;0;992;31038;992;23:42;235;111;DIP;234;116;5104;0;0:42;5368;0;0;42;0;
202;14;2/4/22;23:4;62;14;85;54;62077;713;5153;23:23;0;0;0;992;31038;992;23:42;235;111;DIP;234;116;5104;0;0:42;5368;0;0;42;0;
202;14;2/4/22;23:25;63;14;85;54;62084;710;5153;23:44;0;0;0;1024;31047;1024;0:3;118;232;DIP;118;233;5016;0;1:2;5016;44;1;2;0;
202;14;3/4/22;0:7;1;14;85;54;62528;692;5128;0:25;0;0;0;940;31268;940;0:42;108;230;DIP;108;237;5368;0;1:49;5632;44;1;50;0;
202;14;3/4/22;0:27;2;14;85;54;62061;680;5028;0:47;0;0;0;925;31038;925;1:4;238;112;DIP;237;114;5016;0;2:10;5104;44;2;10;0;
202;14;3/4/22;0:27;2;14;85;54;62061;680;5028;0:47;0;0;0;925;31038;925;1:4;238;112;DIP;237;114;5016;0;2:10;5104;44;2;10;0;
202;14;3/4/22;0:27;2;14;85;54;62061;680;5028;0:47;0;0;0;925;31038;925;1:4;238;112;DIP;237;114;5016;0;2:10;5104;44;2;10;0;
202;14;3/4/22;0:49;3;14;85;54;62289;700;5108;1:6;0;0;0;962;31153;962;1:24;116;228;DIP;114;228;4796;44;2:30;4884;44;2;29;0;
202;14;3/4/22;1:8;4;14;85;54;62421;687;5057;1:26;0;0;0;963;31211;963;1:49;228;96;DIP;228;96;4752;0;2:48;4752;0;2;48;0;
202;14;3/4/22;1:28;5;14;85;54;61802;684;5068;1:52;0;0;0;875;30903;875;2:8;97;211;DIP;97;214;5060;0;3:8;5192;0;3;8;0;
202;14;3/4/22;1:28;5;14;85;54;61802;684;5068;1:52;0;0;0;875;30903;875;2:8;97;211;DIP;97;214;5060;0;3:8;5192;0;3;8;0;
202;14;3/4/22;1:54;6;14;85;54;62060;680;5027;2:12;0;0;0;897;31038;897;2:28;216;83;DIP;215;95;4664;0;3:27;5236;0;3;29;0;
202;14;3/4/22;2:14;7;14;85;54;61691;666;4997;2:33;0;0;0;941;30845;941;2:50;104;209;DIP;104;214;4664;0;3:49;4884;0;3;50;0;
202;14;3/4/22;2:14;7;14;85;54;61691;666;4997;2:33;0;0;0;941;30845;941;2:50;104;209;DIP;104;214;4664;0;3:49;4884;0;3;50;0;
202;14;3/4/22;2:35;8;14;85;54;62243;667;5104;2:52;0;0;0;932;31124;932;3:9;217;82;DIP;215;87;4576;0;4:9;4884;0;4;10;0;
202;14;3/4/22;2:54;9;14;85;54;62302;685;5109;3:12;0;0;0;947;31153;947;3:29;90;197;DIP;90;199;4752;0;4:29;4840;0;4;29;0;
202;14;3/4/22;2:54;9;14;85;54;62302;685;5109;3:12;0;0;0;947;31153;947;3:29;90;197;DIP;90;199;4752;0;4:29;4840;0;4;29;0;
202;14;3/4/22;3:14;10;14;85;54;62216;649;5102;3:31;0;0;0;918;31115;918;3:48;201;64;DIP;200;64;4488;0;4:48;4532;0;4;48;0;
202;14;3/4/22;3:33;11;14;85;54;62350;650;5051;3:50;0;0;0;875;31182;875;4:7;66;167;DIP;65;167;4488;0;5:7;4532;0;5;7;0;
202;14;3/4/22;3:53;12;14;85;54;60905;644;4995;4:9;0;0;0;849;30461;849;4:25;168;31;DIP;168;31;4488;0;5:26;4488;0;5;26;0;
202;14;3/4/22;4:29;14;14;85;54;61769;636;5004;4:45;0;0;0;953;30884;953;5:3;141;6;DIP;141;6;4576;0;6:5;4576;0;6;5;0;
202;14;3/4/22;4:47;15;14;85;54;61407;672;5036;5:5;0;0;0;932;30711;932;5:22;8;104;DIP;7;104;4268;0;6:23;4312;0;6;23;0;
202;14;3/4/22;5:7;16;14;85;54;60984;631;5001;5:24;0;0;0;879;30500;879;5:40;105;209;DIP;105;209;4620;0;6:43;4620;0;6;42;0;
202;14;3/4/22;5:26;17;14;85;54;61145;627;5014;5:43;0;0;0;845;30576;845;6:0;210;67;DIP;210;68;4224;0;7:1;4224;44;7;1;0;
