TIPO;NUMERO DE ESTACION;DIA INICIO/MES INICIO/AÑO INICIO;HORA INICIO:MINUTO INICIO;NUMERO DE MEZCLA;NUMERO DE PREMEZCLA;NUMERO DE BATCH;NUMERO RECETA;PESADA DE CORCHO;MINUTOS PESADA;PESADA D.U;TIEMPO VACIADO (1):TIEMPO VACIADO (2);TIEMPO INYECCION AGUA (s);PESADA INYECCION AGUA;TIEMPO MEZCLA AGUA;TIEMPO INYECCION COLA;PESADA INYECCION COLA;TIEMPO MEZCLA COLA;TIEMPO VACIADO MEZC. MED(1):TIEMPO VACIADO MEZC. MED(2);MOLDE INICIAL EXT1;MOLDE FINAL EXT1;NOMBRE RECETA;MOLDE INICIAL EXT2;MOLDE FINAL EXT2;TAPONES BUENOS G1;TAPONES MALOS G1;TIEMPO EXTRACC. G1 (1):TIEMPO EXTRACC. G1 (2);TAPONES BUENOS G2;TAPONES MALOS G2;TIEMPO EXTRACC. G2 (1):TIEMPO EXTRACC. G2 (2);TAPONES BUENOS DESC G1;TAPONES BUENOS DESC G2;
202;14;10/5/22;16:46;24;14;138;69;68122;652;0;17:17;8;343;52;906;31520;906;17:35;41;148;OIA;41;164;4752;0;18:22;5456;0;18;24;0;
202;14;10/5/22;17:20;25;14;138;69;70072;635;0;17:38;11;561;49;886;32430;895;22:59;146;4;OIA;145;21;4312;0;0:31;5104;0;0;33;0;
202;14;10/5/22;17:40;26;14;138;69;67593;642;0;23:2;11;544;49;1010;31280;1010;0:6;53;160;OIA;53;174;4752;0;0:52;5368;0;0;54;0;
202;14;11/5/22;0:11;1;14;138;69;67614;627;0;0:28;11;539;49;836;31290;836;0:45;104;213;OIA;104;225;4840;0;1:32;5368;0;1;33;0;
202;14;11/5/22;0:30;2;14;138;69;68210;623;0;0:47;11;546;49;864;31560;864;1:5;13;122;OIA;13;138;4840;0;1:52;5456;0;1;54;0;
202;14;11/5/22;0:50;3;14;138;69;68999;632;0;1:7;11;549;49;886;31930;886;1:25;165;35;OIA;164;50;4840;0;2:13;5456;0;2;14;0;
202;14;11/5/22;1:10;4;14;138;69;67959;638;0;1:28;11;544;49;884;31450;884;1:46;77;189;OIA;77;202;4972;0;2:33;5544;0;2;35;0;
202;14;11/5/22;1:30;5;14;138;69;69129;639;0;1:48;11;555;49;943;31990;943;2:7;231;105;OIA;231;119;5016;0;2:54;5544;0;2;56;0;
202;14;11/5/22;1:51;6;14;138;69;68326;641;0;2:10;11;546;49;851;31620;851;2:27;140;22;OIA;140;24;5368;0;3:15;5456;0;3;15;0;
202;14;11/5/22;2:12;7;14;138;69;68183;647;0;2:29;11;545;49;855;31550;855;2:47;48;169;OIA;48;175;5368;0;3:35;5632;0;3;36;0;
202;14;11/5/22;2:32;8;14;138;69;68220;649;0;2:49;11;547;49;843;31570;843;3:6;194;78;OIA;194;84;5456;0;3:55;5632;0;3;56;0;
202;14;11/5/22;2:52;9;14;138;69;69053;646;0;3:9;11;557;49;853;31950;853;3:26;102;225;OIA;102;231;5456;0;4:15;5720;0;4;15;0;
202;14;11/5/22;3:11;10;14;138;69;68528;658;0;3:29;11;548;49;847;31710;847;3:46;10;139;OIA;10;137;5720;0;4:35;5544;0;4;35;0;
