TIPO;NUMERO DE ESTACION;DIA INICIO/MES INICIO/AÑO INICIO;HORA INICIO:MINUTO INICIO;NUMERO DE MEZCLA;NUMERO DE PREMEZCLA;NUMERO DE BATCH;NUMERO RECETA;PESADA DE CORCHO;MINUTOS PESADA;PESADA D.U;TIEMPO VACIADO (1):TIEMPO VACIADO (2);TIEMPO INYECCION AGUA (s);PESADA INYECCION AGUA;TIEMPO MEZCLA AGUA;TIEMPO INYECCION COLA;PESADA INYECCION COLA;TIEMPO MEZCLA COLA;TIEMPO VACIADO MEZC. MED(1):TIEMPO VACIADO MEZC. MED(2);MOLDE INICIAL EXT1;MOLDE FINAL EXT1;NOMBRE RECETA;MOLDE INICIAL EXT2;MOLDE FINAL EXT2;TAPONES BUENOS G1;TAPONES MALOS G1;TIEMPO EXTRACC. G1 (1):TIEMPO EXTRACC. G1 (2);TAPONES BUENOS G2;TAPONES MALOS G2;TIEMPO EXTRACC. G2 (1):TIEMPO EXTRACC. G2 (2);TAPONES BUENOS DESC G1;TAPONES BUENOS DESC G2;
202;14;24/5/22;22:0;56;14;138;54;64850;690;5253;22:20;0;0;0;674;32431;674;22:41;50;177;DIP;50;177;5588;0;0:10;5632;0;0;9;0;
202;14;24/5/22;22:23;57;14;138;54;64662;691;5303;22:43;0;0;0;678;32335;678;23:4;178;57;DIP;178;57;5236;0;0:32;5192;44;0;32;0;
202;14;24/5/22;22:23;57;14;138;54;64662;691;5303;22:43;0;0;0;678;32335;678;23:4;178;57;DIP;178;57;5236;0;0:32;5192;44;0;32;0;
202;14;24/5/22;22:23;57;14;138;54;64662;691;5303;22:43;0;0;0;678;32335;678;23:4;178;57;DIP;178;57;5236;0;0:32;5192;44;0;32;0;
202;14;24/5/22;22:23;57;14;138;54;64662;691;5303;22:43;0;0;0;678;32335;678;23:4;178;57;DIP;178;57;5236;0;0:32;5192;44;0;32;0;
202;14;24/5/22;22:46;58;14;138;54;64695;683;5306;23:7;0;0;0;659;32354;659;23:27;58;102;DIP;57;102;6292;1232;4:18;0;1452;4;18;0;
202;14;25/5/22;1:49;1;14;138;54;65000;692;5331;3:47;0;0;0;774;32508;774;4:4;29;162;DIP;29;162;5896;0;5:13;5896;0;5;13;0;
202;14;25/5/22;1:49;1;14;138;54;65000;692;5331;3:47;0;0;0;774;32508;774;4:4;29;162;DIP;29;162;5896;0;5:13;5896;0;5;13;0;
202;14;25/5/22;3:50;2;14;138;54;64531;693;5228;4:7;0;0;0;744;32268;744;4:30;163;45;DIP;163;45;5324;0;5:36;5368;0;5;35;0;
202;14;25/5/22;4:10;3;14;138;54;64487;706;5289;4:33;0;0;0;664;32248;664;4:52;46;168;DIP;46;168;5368;0;5:58;5412;0;5;58;0;
202;14;25/5/22;4:35;4;14;138;54;64557;707;5294;4:55;0;0;0;613;32287;613;5:15;169;51;DIP;169;51;5368;0;6:21;5368;0;6;21;0;
202;14;25/5/22;4:35;4;14;138;54;64557;707;5294;4:55;0;0;0;613;32287;613;5:15;169;51;DIP;169;51;5368;0;6:21;5368;0;6;21;0;
202;14;25/5/22;4:58;5;14;138;54;64512;703;5291;5:18;0;0;0;583;32258;595;5:38;52;190;DIP;52;190;6072;0;6:47;6116;0;6;47;0;
202;14;25/5/22;5:21;6;14;138;54;64707;724;5306;5:40;0;0;0;621;32354;621;6:3;191;82;DIP;191;82;5764;0;7:12;5764;0;7;12;0;
202;14;25/5/22;5:21;6;14;138;54;64707;724;5306;5:40;0;0;0;621;32354;621;6:3;191;82;DIP;191;82;5764;0;7:12;5764;0;7;12;0;
202;14;25/5/22;5:43;7;14;138;54;64646;721;5302;6:6;0;0;0;630;32325;630;6:27;83;208;DIP;83;208;5500;0;7:37;5544;0;7;36;0;
202;14;25/5/22;6:9;8;14;138;54;64639;716;5236;6:30;0;0;0;629;32325;658;6:51;209;95;DIP;209;95;5544;0;8:1;5544;0;8;1;0;
202;14;25/5/22;6:9;8;14;138;54;64639;716;5236;6:30;0;0;0;629;32325;658;6:51;209;95;DIP;209;95;5544;0;8:1;5544;0;8;1;0;
202;14;25/5/22;6:33;9;14;138;54;64474;697;5287;6:54;0;0;0;647;32239;664;7:16;96;226;DIP;96;226;5720;0;8:26;5764;0;8;26;0;
202;14;25/5/22;6:57;10;14;138;54;64577;695;5296;7:18;0;0;0;716;32296;716;7:41;227;118;DIP;227;118;5764;0;8:51;5764;0;8;51;0;
202;14;25/5/22;6:57;10;14;138;54;64577;695;5296;7:18;0;0;0;716;32296;716;7:41;227;118;DIP;227;118;5764;0;8:51;5764;0;8;51;0;
