TIPO;NUMERO DE ESTACION;DIA INICIO/MES INICIO/AÑO INICIO;HORA INICIO:MINUTO INICIO;NUMERO DE MEZCLA;NUMERO DE PREMEZCLA;NUMERO DE BATCH;NUMERO RECETA;PESADA DE CORCHO;MINUTOS PESADA;PESADA D.U;TIEMPO VACIADO (1):TIEMPO VACIADO (2);TIEMPO INYECCION AGUA (s);PESADA INYECCION AGUA;TIEMPO MEZCLA AGUA;TIEMPO INYECCION COLA;PESADA INYECCION COLA;TIEMPO MEZCLA COLA;TIEMPO VACIADO MEZC. MED(1):TIEMPO VACIADO MEZC. MED(2);MOLDE INICIAL EXT1;MOLDE FINAL EXT1;NOMBRE RECETA;MOLDE INICIAL EXT2;MOLDE FINAL EXT2;TAPONES BUENOS G1;TAPONES MALOS G1;TIEMPO EXTRACC. G1 (1):TIEMPO EXTRACC. G1 (2);TAPONES BUENOS G2;TAPONES MALOS G2;TIEMPO EXTRACC. G2 (1):TIEMPO EXTRACC. G2 (2);TAPONES BUENOS DESC G1;TAPONES BUENOS DESC G2;
202;14;21/7/22;22:19;55;14;160;55;57787;656;4739;22:38;0;0;0;457;28895;523;22:55;69;166;DIZ;69;166;4312;0;0:7;4312;0;0;7;0;
202;14;21/7/22;22:40;56;14;160;55;57788;649;4739;22:59;0;0;0;414;28895;518;23:16;167;27;DIZ;167;27;4400;0;0:29;4400;0;0;28;0;
202;14;21/7/22;23:1;57;14;160;55;57666;646;4787;23:20;0;0;0;382;28837;563;23:38;28;117;DIZ;28;117;3960;0;0:48;3960;0;0;48;0;
202;14;21/7/22;23:23;58;14;160;55;57762;651;4795;23:41;0;0;0;379;28885;516;23:57;118;217;DIZ;118;217;4400;0;1:10;4400;0;1;10;0;
202;14;22/7/22;0:4;1;14;160;55;57653;649;4786;0:23;0;0;0;397;28827;483;0:39;72;174;DIZ;72;174;4532;0;1:53;4532;0;1;52;0;
202;14;22/7/22;0:25;2;14;160;55;57866;645;4746;0:44;0;0;0;423;28933;568;1:2;175;23;DIZ;175;23;3872;0;2:12;3872;0;2;12;0;
202;14;22/7/22;0:46;3;14;160;55;57719;642;4791;1:5;0;0;0;399;28866;494;1:21;24;123;DIZ;24;123;4400;0;2:34;4400;0;2;33;0;
202;14;22/7/22;1:8;4;14;160;55;57621;639;4841;1:25;0;0;0;388;28818;523;1:43;124;217;DIZ;124;217;4136;0;2:54;4136;0;2;54;0;
202;14;22/7/22;1:28;5;14;160;55;57818;638;4742;1:46;0;0;0;400;28914;486;2:3;218;72;DIZ;218;73;4136;0;3:14;4136;44;3;14;0;
202;14;22/7/22;1:49;6;14;160;55;57617;641;4783;2:6;0;0;0;433;28808;476;2:24;73;170;DIZ;73;170;4312;0;3:36;4312;0;3;36;0;
202;14;22/7/22;2:9;7;14;160;55;57712;638;4848;2:28;0;0;0;431;28856;535;2:45;171;27;DIZ;171;27;4224;0;3:57;4224;0;3;56;0;
202;14;22/7/22;2:30;8;14;160;55;57700;628;4790;2:48;0;0;0;407;28856;518;3:6;28;118;DIZ;28;118;4004;0;4:16;4004;0;4;16;0;
202;14;22/7/22;2:51;9;14;160;55;57742;637;4793;3:9;0;0;0;434;28876;503;3:25;119;215;DIZ;119;215;4268;0;4:38;4268;0;4;37;0;
202;14;22/7/22;3:12;10;14;160;55;57931;637;4751;3:29;0;0;0;425;28972;521;3:47;216;66;DIZ;216;66;3960;0;4:57;3960;0;4;57;0;
202;14;22/7/22;3:31;11;14;160;55;57727;633;4907;3:50;0;0;0;427;28866;519;4:6;67;164;DIZ;67;164;4312;0;5:18;4312;0;5;18;0;
202;14;22/7/22;3:53;12;14;160;55;57875;628;4746;4:10;0;0;0;423;28943;538;4:27;165;16;DIZ;165;16;4004;0;5:38;4004;0;5;38;0;
202;14;22/7/22;4:13;13;14;160;55;57867;631;4746;4:31;0;0;0;483;28933;507;4:47;17;113;DIZ;17;113;4268;0;5:59;4268;0;5;59;0;
202;14;22/7/22;4:33;14;14;160;55;57892;648;4748;4:51;0;0;0;491;28952;537;5:8;114;207;DIZ;114;207;4136;0;6:20;4136;0;6;20;0;
202;14;22/7/22;4:54;15;14;160;55;57786;638;4739;5:12;0;0;0;489;28895;564;5:29;208;56;DIZ;208;56;3872;0;6:39;3872;0;6;39;0;
202;14;22/7/22;5:14;16;14;160;55;57772;632;4796;5:32;0;0;0;453;28895;500;5:48;57;156;DIZ;57;156;4400;0;7:1;4400;0;7;0;0;
202;14;22/7/22;5:34;17;14;160;55;57913;635;4749;5:52;0;0;0;451;28962;535;6:10;157;9;DIZ;157;9;4048;0;7:21;4048;0;7;20;0;
202;14;22/7/22;5:55;18;14;160;55;57908;627;4807;6:13;0;0;0;462;28962;539;6:30;10;101;DIZ;10;101;4048;0;7:41;4048;0;7;40;0;
202;14;22/7/22;6:16;19;14;160;55;57885;623;4747;6:33;0;0;0;519;28943;537;6:50;102;196;DIZ;102;196;4136;44;8:4;4180;0;8;4;0;
202;14;22/7/22;6:36;20;14;160;55;57958;624;4753;6:53;0;0;0;556;28981;556;7:10;196;55;DIZ;197;55;4356;0;8:25;4312;0;8;25;0;
202;14;22/7/22;6:56;21;14;160;55;57915;621;4750;7:14;0;0;0;629;28962;629;7:32;56;138;DIZ;56;138;3652;0;8:43;3652;0;8;43;0;
202;14;22/7/22;7:16;22;14;160;55;57698;633;4790;7:34;0;0;0;687;28856;687;7:52;139;234;DIZ;139;234;4224;0;9:4;4224;0;9;4;0;
202;14;22/7/22;7:16;22;14;160;55;57698;633;4790;7:34;0;0;0;687;28856;687;7:52;139;234;DIZ;139;234;4224;0;9:4;4224;0;9;4;0;
202;14;22/7/22;7:16;22;14;160;55;57698;633;4790;7:34;0;0;0;687;28856;687;7:52;139;234;DIZ;139;234;4224;0;9:4;4224;0;9;4;0;
202;14;22/7/22;7:36;23;14;160;55;57887;619;4747;7:56;0;0;0;572;28943;572;8:13;235;92;DIZ;235;92;4268;0;9:26;4268;0;9;26;0;
202;14;22/7/22;7:58;24;14;160;55;57677;621;4730;8:17;0;0;0;622;28847;622;8:34;93;181;DIZ;93;181;3916;0;9:46;3916;0;9;46;0;
202;14;22/7/22;8:19;25;14;160;55;57815;627;4741;8:37;0;0;0;631;28914;631;8:54;182;38;DIZ;182;56;4224;0;10:7;5016;0;10;10;0;
202;14;22/7/22;8:59;26;14;160;54;58084;621;4822;9:14;0;0;0;556;29049;556;9:25;85;174;DIP;85;174;3960;0;10:36;3960;0;10;36;0;
202;14;22/7/22;9:16;27;14;160;54;58045;615;4760;9:31;0;0;0;579;29029;724;9:45;175;43;DIP;175;43;4752;0;11:0;4752;0;10;59;0;
202;14;22/7/22;9:33;28;14;160;54;58107;621;4823;9:48;0;0;0;636;29058;675;10:9;44;155;DIP;44;155;4928;0;11:24;4928;0;11;24;0;
202;14;22/7/22;9:51;29;14;160;54;58181;619;4771;10:12;0;0;0;643;29097;651;10:33;156;28;DIP;156;28;4928;0;11:48;4928;0;11;48;0;
202;14;22/7/22;10:15;30;14;160;54;57825;619;4742;10:36;0;0;0;488;28914;629;10:57;29;136;DIP;29;136;4752;0;12:12;4752;0;12;12;0;
202;14;22/7/22;10:39;31;14;160;54;58221;615;4775;11:1;0;0;0;490;29116;657;11:21;137;7;DIP;137;7;4840;0;12:36;4840;0;12;36;0;
202;14;22/7/22;11:3;32;14;160;54;58058;616;4761;11:24;0;0;0;520;29029;601;11:45;8;117;DIP;8;117;4840;0;13:0;4840;0;13;0;0;
202;14;22/7/22;11:27;33;14;160;54;57968;612;4754;11:48;0;0;0;507;28991;682;12:9;118;221;DIP;118;221;4576;0;13:22;4576;0;13;22;0;
202;14;22/7/22;11:51;34;14;160;54;58081;612;4763;12:13;0;0;0;416;29049;558;12:31;222;98;DIP;222;98;5104;0;13:48;5104;0;13;47;0;
202;14;22/7/22;12:15;35;14;160;54;57884;617;4805;12:36;0;0;0;429;28943;629;12:57;99;202;DIP;99;202;4576;0;14:10;4576;0;14;10;0;
202;14;22/7/22;12:39;36;14;160;54;57926;616;4808;13:0;0;0;0;483;28972;582;13:19;203;77;DIP;203;77;5016;0;14:35;5016;0;14;35;0;
202;14;22/7/22;13:2;37;14;160;54;57907;619;4749;13:23;0;0;0;489;28962;555;13:44;78;187;DIP;78;187;4840;0;14:59;4840;0;14;59;0;
202;14;22/7/22;13:26;38;14;160;54;57961;618;4753;13:47;0;0;0;461;28981;521;14:8;188;54;DIP;188;54;4664;0;15:22;4664;0;15;22;0;
202;14;22/7/22;13:50;39;14;160;54;57869;624;4804;14:11;0;0;0;433;28943;477;14:31;55;170;DIP;55;170;5104;0;15:47;5104;0;15;47;0;
202;14;22/7/22;14:14;40;14;160;54;57940;624;4867;14:34;0;0;0;401;28972;525;14:56;171;43;DIP;171;43;4928;0;16:12;4928;0;16;11;0;
202;14;22/7/22;14:37;41;14;160;54;58091;622;4822;15:0;0;0;0;445;29049;521;15:21;44;155;DIP;44;155;4928;0;16:36;4928;0;16;36;0;
202;14;22/7/22;15:2;42;14;160;54;57982;622;4755;15:24;0;0;0;407;28991;553;15:45;156;28;DIP;156;28;4928;0;17:0;4928;0;17;0;0;
202;14;22/7/22;15:26;43;14;160;54;57745;622;4793;15:48;0;0;0;375;28876;548;16:9;29;136;DIP;29;136;4752;0;17:24;4752;0;17;24;0;
202;14;22/7/22;15:51;44;14;160;54;57875;622;4804;16:13;0;0;0;362;28943;520;16:33;137;9;DIP;137;9;4928;0;17:48;4928;0;17;48;0;
202;14;22/7/22;16:15;45;14;160;54;57855;621;4802;16:36;0;0;0;348;28933;542;16:57;10;121;DIP;10;121;4928;0;18:13;4928;0;18;12;0;
202;14;22/7/22;16:39;46;14;160;54;57874;624;4804;17:1;0;0;0;364;28943;603;17:22;122;233;DIP;122;233;4928;0;18:37;4928;0;18;37;0;
202;14;22/7/22;17:3;47;14;160;54;57960;631;4753;17:24;0;0;0;363;28981;524;17:46;234;106;DIP;234;106;4928;0;19:1;4928;0;19;1;0;
202;14;22/7/22;17:26;48;14;160;54;58080;632;4763;17:49;0;0;0;344;29049;546;18:10;107;214;DIP;107;214;4752;0;19:25;4752;0;19;25;0;
202;14;22/7/22;17:52;49;14;160;54;58195;617;4714;18:13;0;0;0;333;29097;522;18:34;215;87;DIP;215;87;4928;0;19:49;4928;0;19;49;0;
202;14;22/7/22;18:16;50;14;160;54;58058;618;4877;18:38;0;0;0;374;29029;528;18:58;88;199;DIP;88;199;4928;0;20:13;4928;0;20;13;0;
202;14;22/7/22;18:40;51;14;160;54;57892;628;4863;19:2;0;0;0;383;28952;476;19:23;200;64;DIP;200;64;4576;0;20:36;4576;0;20;36;0;
202;14;22/7/22;19:5;52;14;160;54;58139;631;4768;19:27;0;0;0;437;29077;472;19:45;65;184;DIP;65;184;5280;0;21:2;5280;0;21;2;0;
202;14;22/7/22;19:29;53;14;160;54;57767;630;4795;19:50;0;0;0;434;28885;528;20:11;185;59;DIP;185;59;5016;0;21:27;5016;0;21;27;0;
202;14;22/7/22;19:53;54;14;160;54;58032;630;4759;20:15;0;0;0;385;29020;548;20:36;60;171;DIP;60;171;4928;0;21:51;4928;0;21;51;0;
202;14;22/7/22;20:18;55;14;160;54;58066;626;4762;20:40;0;0;0;351;29039;578;21:0;172;44;DIP;172;44;4928;0;22:16;4928;0;22;15;0;
202;14;22/7/22;20:43;56;14;160;54;57936;633;4751;21:4;0;0;0;452;28972;578;21:25;45;156;DIP;45;156;4928;0;22:40;4928;0;22;40;0;
202;14;22/7/22;21:6;57;14;160;54;57890;621;4863;21:28;0;0;0;378;28952;520;21:49;157;29;DIP;157;29;4928;0;23:4;4928;0;23;4;0;
202;14;22/7/22;21:30;58;14;160;54;57944;612;4810;21:52;0;0;0;369;28972;551;22:13;30;137;DIP;30;137;4752;0;23:28;4752;0;23;28;0;
202;14;22/7/22;21:55;59;14;160;54;57909;630;4807;22:18;0;0;0;439;28962;476;22:37;138;14;DIP;138;14;5104;0;23:53;5104;0;23;53;0;
