TIPO;NUMERO DE ESTACION;DIA INICIO/MES INICIO/AÑO INICIO;HORA INICIO:MINUTO INICIO;NUMERO DE MEZCLA;NUMERO DE PREMEZCLA;NUMERO DE BATCH;NUMERO RECETA;PESADA DE CORCHO;MINUTOS PESADA;PESADA D.U;TIEMPO VACIADO (1):TIEMPO VACIADO (2);TIEMPO INYECCION AGUA (s);PESADA INYECCION AGUA;TIEMPO MEZCLA AGUA;TIEMPO INYECCION COLA;PESADA INYECCION COLA;TIEMPO MEZCLA COLA;TIEMPO VACIADO MEZC. MED(1):TIEMPO VACIADO MEZC. MED(2);MOLDE INICIAL EXT1;MOLDE FINAL EXT1;NOMBRE RECETA;MOLDE INICIAL EXT2;MOLDE FINAL EXT2;TAPONES BUENOS G1;TAPONES MALOS G1;TIEMPO EXTRACC. G1 (1):TIEMPO EXTRACC. G1 (2);TAPONES BUENOS G2;TAPONES MALOS G2;TIEMPO EXTRACC. G2 (1):TIEMPO EXTRACC. G2 (2);TAPONES BUENOS DESC G1;TAPONES BUENOS DESC G2;
202;14;16/6/22;22:30;36;14;152;54;69557;722;5704;22:47;0;0;0;448;34785;450;23:4;23;159;DIP;23;159;5984;44;0:3;5940;44;0;3;0;
202;14;16/6/22;22:30;36;14;152;54;69557;722;5704;22:47;0;0;0;448;34785;450;23:4;23;159;DIP;23;159;5984;44;0:3;5940;44;0;3;0;
202;14;16/6/22;22:30;36;14;152;54;69557;722;5704;22:47;0;0;0;448;34785;450;23:4;23;159;DIP;23;159;5984;44;0:3;5940;44;0;3;0;
202;14;16/6/22;22:49;37;14;152;54;69505;720;5630;23:6;0;0;0;546;34756;546;23:25;159;59;DIP;159;62;5676;0;0:25;6248;44;0;25;0;
202;14;16/6/22;22:49;37;14;152;54;69505;720;5630;23:6;0;0;0;546;34756;546;23:25;159;59;DIP;159;62;5676;0;0:25;6248;44;0;25;0;
202;14;16/6/22;22:49;37;14;152;54;69505;720;5630;23:6;0;0;0;546;34756;546;23:25;159;59;DIP;159;62;5676;0;0:25;6248;44;0;25;0;
202;14;16/6/22;23:9;38;14;152;54;69500;703;5700;23:28;0;0;0;644;34756;644;23:48;63;190;DIP;62;190;5148;0;0:46;5632;0;0;46;0;
202;14;16/6/22;23:31;39;14;152;54;69644;704;5642;23:51;0;0;0;667;34824;667;0:9;191;72;DIP;191;72;5324;0;1:5;5324;0;1;5;0;
202;14;16/6/22;23:31;39;14;152;54;69644;704;5642;23:51;0;0;0;667;34824;667;0:9;191;72;DIP;191;72;5324;0;1:5;5324;0;1;5;0;
202;14;16/6/22;23:31;39;14;152;54;69644;704;5642;23:51;0;0;0;667;34824;667;0:9;191;72;DIP;191;72;5324;0;1:5;5324;0;1;5;0;
202;14;17/6/22;0:14;1;14;152;54;69677;698;5644;0:30;0;0;0;588;34843;588;0:47;192;82;DIP;192;82;5720;0;1:45;5720;0;1;45;0;
