TIPO;NUMERO DE ESTACION;DIA INICIO/MES INICIO/AÑO INICIO;HORA INICIO:MINUTO INICIO;NUMERO DE MEZCLA;NUMERO DE PREMEZCLA;NUMERO DE BATCH;NUMERO RECETA;PESADA DE CORCHO;MINUTOS PESADA;PESADA D.U;TIEMPO VACIADO (1):TIEMPO VACIADO (2);TIEMPO INYECCION AGUA (s);PESADA INYECCION AGUA;TIEMPO MEZCLA AGUA;TIEMPO INYECCION COLA;PESADA INYECCION COLA;TIEMPO MEZCLA COLA;TIEMPO VACIADO MEZC. MED(1):TIEMPO VACIADO MEZC. MED(2);MOLDE INICIAL EXT1;MOLDE FINAL EXT1;NOMBRE RECETA;MOLDE INICIAL EXT2;MOLDE FINAL EXT2;TAPONES BUENOS G1;TAPONES MALOS G1;TIEMPO EXTRACC. G1 (1):TIEMPO EXTRACC. G1 (2);TAPONES BUENOS G2;TAPONES MALOS G2;TIEMPO EXTRACC. G2 (1):TIEMPO EXTRACC. G2 (2);TAPONES BUENOS DESC G1;TAPONES BUENOS DESC G2;
202;15;3/5/22;22:28;60;15;2;38;70108;442;4417;22:47;22;1326;98;334;19634;350;23:5;0;0;DIL;0;0;6644;44;0:0;6644;44;0;0;0;0;
202;15;3/5/22;22:28;60;15;2;38;70108;442;4417;22:47;22;1326;98;334;19634;350;23:5;0;0;DIL;0;0;6644;44;0:0;6644;44;0;0;0;0;
202;15;3/5/22;22:49;61;15;2;38;70405;443;4295;23:9;22;1338;98;353;19714;353;23:26;0;0;DIL;0;0;6424;65492;0:21;6468;0;0;20;0;0;
202;15;3/5/22;22:49;61;15;2;38;70405;443;4295;23:9;22;1338;98;353;19714;353;23:26;0;0;DIL;0;0;6424;65492;0:21;6468;0;0;20;0;0;
202;15;3/5/22;23:11;62;15;2;38;70139;441;4419;23:30;22;1334;98;320;19644;350;23:47;0;0;DIL;0;0;6556;0;0:42;6600;0;0;42;0;0;
202;15;3/5/22;23:11;62;15;2;38;70139;441;4419;23:30;22;1334;98;320;19644;350;23:47;0;0;DIL;0;0;6556;0;0:42;6600;0;0;42;0;0;
202;15;4/5/22;0:13;1;15;2;52;70285;415;4429;0:26;22;1335;98;351;19684;351;0:52;0;0;DFL;0;0;4840;0;1:42;4840;0;1;42;0;0;
202;15;4/5/22;0:13;1;15;2;52;70285;415;4429;0:26;22;1335;98;351;19684;351;0:52;0;0;DFL;0;0;4840;0;1:42;4840;0;1;42;0;0;
202;15;4/5/22;0:28;2;15;2;52;70324;418;4290;0:55;22;1330;98;327;19694;350;1:8;0;0;DFL;0;0;6512;0;2:3;6556;0;2;3;0;0;
202;15;4/5/22;0:28;2;15;2;52;70324;418;4290;0:55;22;1330;98;327;19694;350;1:8;0;0;DFL;0;0;6512;0;2:3;6556;0;2;3;0;0;
202;15;4/5/22;0:57;3;15;2;52;70086;420;4276;1:12;22;1335;98;326;19624;350;1:30;0;0;DFL;0;0;6248;0;2:24;6292;0;2;24;0;0;
202;15;4/5/22;1:14;4;15;2;52;70266;416;4287;1:34;22;1333;98;329;19674;350;1:51;0;0;DFL;0;0;6292;0;2:44;6292;0;2;44;0;0;
202;15;4/5/22;1:14;4;15;2;52;70266;416;4287;1:34;22;1333;98;329;19674;350;1:51;0;0;DFL;0;0;6292;0;2:44;6292;0;2;44;0;0;
202;15;4/5/22;1:36;5;15;2;52;70180;419;4281;1:54;24;1471;96;351;19654;351;2:11;0;0;DFL;0;0;6292;0;3:5;6336;0;3;5;0;0;
202;15;4/5/22;1:56;6;15;2;52;70243;422;4285;2:15;24;1476;96;349;19674;350;2:31;0;0;DFL;0;0;6380;0;3:25;6380;0;3;25;0;0;
202;15;4/5/22;2:17;7;15;2;52;70179;417;4281;2:35;25;1538;95;381;19654;381;2:52;0;0;DFL;0;0;6292;44;3:46;6336;44;3;46;0;0;
202;15;4/5/22;2:17;7;15;2;52;70179;417;4281;2:35;25;1538;95;381;19654;381;2:52;0;0;DFL;0;0;6292;44;3:46;6336;44;3;46;0;0;
202;15;4/5/22;2:37;8;15;2;52;70104;415;4277;2:56;25;1540;95;363;19634;363;3:13;0;0;DFL;0;0;6336;65492;4:7;6380;0;4;6;0;0;
202;15;4/5/22;2:58;9;15;2;52;70347;417;4292;3:16;25;1550;95;386;19704;386;3:33;0;0;DFL;0;0;6380;0;4:27;6380;0;4;27;0;0;
202;15;4/5/22;2:58;9;15;2;52;70347;417;4292;3:16;25;1550;95;386;19704;386;3:33;0;0;DFL;0;0;6380;0;4:27;6380;0;4;27;0;0;
202;15;4/5/22;3:18;10;15;2;52;70024;417;4202;3:37;24;1539;96;400;19613;400;3:54;0;0;DFL;0;0;6380;0;4:48;6424;0;4;48;0;0;
202;15;4/5/22;3:18;10;15;2;52;70024;417;4202;3:37;24;1539;96;400;19613;400;3:54;0;0;DFL;0;0;6380;0;4:48;6424;0;4;48;0;0;
202;15;4/5/22;3:39;11;15;2;52;70356;421;4292;3:57;26;1548;94;395;19704;395;4:15;0;0;DFL;0;0;6248;44;5:8;6292;44;5;8;0;0;
202;15;4/5/22;4:0;12;15;2;52;69963;413;4268;4:18;25;1534;95;368;19593;368;4:35;0;0;DFL;0;0;6292;65492;5:29;6292;0;5;29;0;0;
202;15;4/5/22;4:20;13;15;2;52;70193;416;4282;4:39;24;1544;96;364;19654;364;4:55;0;0;DFL;0;0;6336;0;5:49;6380;0;5;49;0;0;
202;15;4/5/22;4:41;14;15;2;52;70264;419;4287;4:59;25;1546;95;357;19674;357;5:16;0;0;DFL;0;0;6424;0;6:11;6424;0;6;11;0;0;
202;15;4/5/22;4:41;14;15;2;52;70264;419;4287;4:59;25;1546;95;357;19674;357;5:16;0;0;DFL;0;0;6424;0;6:11;6424;0;6;11;0;0;
202;15;4/5/22;4:41;14;15;2;52;70264;419;4287;4:59;25;1546;95;357;19674;357;5:16;0;0;DFL;0;0;6424;0;6:11;6424;0;6;11;0;0;
202;15;4/5/22;4:41;14;15;2;52;70264;419;4287;4:59;25;1546;95;357;19674;357;5:16;0;0;DFL;0;0;6424;0;6:11;6424;0;6;11;0;0;
202;15;4/5/22;4:41;14;15;2;52;70264;419;4287;4:59;25;1546;95;357;19674;357;5:16;0;0;DFL;0;0;6424;0;6:11;6424;0;6;11;0;0;
202;15;4/5/22;4:41;14;15;2;52;70264;419;4287;4:59;25;1546;95;357;19674;357;5:16;0;0;DFL;0;0;6424;0;6:11;6424;0;6;11;0;0;
202;15;4/5/22;4:41;14;15;2;52;70264;419;4287;4:59;25;1546;95;357;19674;357;5:16;0;0;DFL;0;0;6424;0;6:11;6424;0;6;11;0;0;
202;15;4/5/22;5:1;15;15;2;52;70283;419;4218;5:20;25;1549;95;333;19684;350;5:37;0;0;DFL;0;0;6908;748;17:4;7172;748;17;4;0;0;
202;15;4/5/22;16:25;16;15;2;52;15094;163;982;16:31;9;435;111;71;4226;350;16:45;0;0;DFL;0;0;880;0;17:22;792;0;17;21;880;792;
202;15;4/5/22;16:33;17;15;2;52;70432;415;4297;16:46;26;1535;94;305;19724;350;16:55;0;0;DFL;0;0;5368;0;17:47;5412;0;17;46;0;0;
202;15;4/5/22;16:48;18;15;2;52;70034;414;4343;16:58;26;1524;94;327;19613;350;17:13;0;0;DFL;0;0;5676;0;18:5;5676;0;18;5;0;0;
202;15;4/5/22;17:0;19;15;2;52;70405;416;4295;17:15;26;1535;94;304;19714;350;17:32;0;0;DFL;0;0;5896;0;18:24;5940;0;18;24;0;0;
202;15;4/5/22;17:17;20;15;2;52;70085;418;4276;17:34;27;1531;93;282;19624;350;17:51;0;0;DFL;0;0;6292;0;18:45;6336;0;18;45;0;0;
202;15;4/5/22;17:36;21;15;2;52;70489;418;4371;17:53;27;1538;93;270;19744;350;18:11;0;0;DFL;0;0;5984;44;19:4;5984;44;19;4;0;0;
202;15;4/5/22;17:36;21;15;2;52;70489;418;4371;17:53;27;1538;93;270;19744;350;18:11;0;0;DFL;0;0;5984;44;19:4;5984;44;19;4;0;0;
