TIPO;NUMERO DE ESTACION;DIA INICIO/MES INICIO/AÑO INICIO;HORA INICIO:MINUTO INICIO;NUMERO DE MEZCLA;NUMERO DE PREMEZCLA;NUMERO DE BATCH;NUMERO RECETA;PESADA DE CORCHO;MINUTOS PESADA;PESADA D.U;TIEMPO VACIADO (1):TIEMPO VACIADO (2);TIEMPO INYECCION AGUA (s);PESADA INYECCION AGUA;TIEMPO MEZCLA AGUA;TIEMPO INYECCION COLA;PESADA INYECCION COLA;TIEMPO MEZCLA COLA;TIEMPO VACIADO MEZC. MED(1):TIEMPO VACIADO MEZC. MED(2);MOLDE INICIAL EXT1;MOLDE FINAL EXT1;NOMBRE RECETA;MOLDE INICIAL EXT2;MOLDE FINAL EXT2;TAPONES BUENOS G1;TAPONES MALOS G1;TIEMPO EXTRACC. G1 (1):TIEMPO EXTRACC. G1 (2);TAPONES BUENOS G2;TAPONES MALOS G2;TIEMPO EXTRACC. G2 (1):TIEMPO EXTRACC. G2 (2);TAPONES BUENOS DESC G1;TAPONES BUENOS DESC G2;
202;15;9/2/22;22:35;54;15;28;41;65836;436;4412;22:53;55;1161;65;306;21073;400;23:11;0;0;DIA;0;0;6248;0;0:4;6248;0;0;4;0;0;
202;15;9/2/22;22:55;55;15;28;41;65681;435;4467;23:14;55;1158;65;296;21022;400;23:31;0;0;DIA;0;0;5720;0;0:23;5720;0;0;23;0;0;
202;15;9/2/22;23:16;56;15;28;41;65363;439;4445;23:34;54;1152;66;274;20922;400;23:50;0;0;DIA;0;0;6160;0;0:43;6160;0;0;43;0;0;
202;15;9/2/22;23:36;57;15;28;41;65710;437;4469;23:53;54;1158;66;259;21032;400;0:10;0;0;DIA;0;0;6160;0;1:3;6160;0;1;3;0;0;
202;15;10/2/22;0:14;1;15;28;41;65091;438;4427;0:32;52;1147;68;284;20831;400;0:50;0;0;DIA;0;0;6160;0;1:43;6160;0;1;43;0;0;
202;15;10/2/22;0:34;2;15;28;41;65577;440;4460;0:53;55;1156;65;251;20992;400;1:10;0;0;DIA;0;0;6160;0;2:3;6160;0;2;3;0;0;
202;15;10/2/22;0:55;3;15;28;41;65784;437;4408;1:13;55;1161;65;255;21053;400;1:30;0;0;DIA;0;0;5984;0;2:23;5984;0;2;23;0;0;
202;15;10/2/22;1:15;4;15;28;41;65621;437;4463;1:33;55;1156;65;296;21002;400;1:49;0;0;DIA;0;0;6336;0;2:43;6336;0;2;43;0;0;
202;15;10/2/22;1:35;5;15;28;41;65478;435;4518;1:52;53;1154;67;332;20952;400;2:10;0;0;DIA;0;0;5984;0;3:3;5984;0;3;2;0;0;
202;15;10/2/22;1:54;6;15;28;41;65652;436;4465;2:13;53;1156;67;320;21012;400;2:29;0;0;DIA;0;0;5808;0;3:21;5808;0;3;21;0;0;
202;15;10/2/22;2:15;7;15;28;41;65825;439;4477;2:32;54;1162;66;284;21073;400;2:48;0;0;DIA;0;0;6072;0;3:41;6072;0;3;41;0;0;
202;15;10/2/22;2:34;8;15;28;41;65710;434;4469;2:51;54;1159;66;277;21032;400;3:8;0;0;DIA;0;0;6248;0;4:1;6248;0;4;1;0;0;
202;15;10/2/22;2:53;9;15;28;41;65742;435;4471;3:11;53;1158;67;317;21043;400;3:28;0;0;DIA;0;0;6072;0;4:21;6072;0;4;21;0;0;
202;15;10/2/22;3:13;10;15;28;41;65481;435;4322;3:31;51;1156;69;289;20962;400;3:48;0;0;DIA;0;0;5632;0;4:39;5632;0;4;39;0;0;
202;15;10/2/22;3:33;11;15;28;41;65702;437;4337;3:50;55;1158;65;276;21032;400;4:6;0;0;DIA;0;0;6424;0;5:0;6424;0;5;0;0;0;
202;15;10/2/22;3:52;12;15;28;41;65895;441;4416;4:9;54;1160;66;316;21093;400;4:27;0;0;DIA;0;0;5984;0;5:19;5984;0;5;19;0;0;
202;15;10/2/22;4:11;13;15;28;41;65297;433;4506;4:29;54;1152;66;287;20902;400;4:46;0;0;DIA;0;0;6336;0;5:40;6336;0;5;40;0;0;
202;15;10/2/22;4:31;14;15;28;41;65676;436;4466;4:49;52;1157;68;282;21022;400;5:7;0;0;DIA;0;0;5984;0;5:59;5984;0;5;59;0;0;
202;15;10/2/22;4:51;15;15;28;41;65452;440;4451;5:9;49;1153;71;273;20952;400;5:26;0;0;DIA;0;0;6248;0;6:20;6248;0;6;19;0;0;
202;15;10/2/22;5:11;16;15;28;41;65665;436;4466;5:29;55;1158;65;290;21012;400;5:46;0;0;DIA;0;0;6160;0;6:40;6160;0;6;39;0;0;
202;15;10/2/22;5:31;17;15;28;41;65697;437;4468;5:49;56;1160;64;297;21032;400;6:6;0;0;DIA;0;0;5896;0;6:59;5896;0;6;58;0;0;
202;15;10/2/22;5:51;18;15;28;41;65579;440;4460;6:9;55;1155;65;284;20992;400;6:25;0;0;DIA;0;0;6424;0;7:19;6424;0;7;19;0;0;
202;15;10/2/22;6:11;19;15;28;41;65636;432;4398;6:28;55;1156;65;281;21012;400;6:46;0;0;DIA;0;0;6292;0;7:40;6292;0;7;40;0;0;
202;15;10/2/22;6:30;20;15;28;41;65791;436;4409;6:49;54;1161;66;265;21053;400;7:6;0;0;DIA;0;0;5676;0;7:58;5676;0;7;58;0;0;
202;15;10/2/22;6:51;21;15;28;41;65445;431;4516;7:9;56;1155;64;312;20942;400;7:25;0;0;DIA;0;0;6248;0;8:18;6248;0;8;18;0;0;
202;15;10/2/22;7:11;22;15;28;41;65628;434;4398;7:28;55;1157;65;341;21002;400;7:45;0;0;DIA;0;0;6248;0;8:39;6248;0;8;39;0;0;
202;15;10/2/22;7:30;23;15;28;41;65621;434;4463;7:48;51;1155;68;318;21002;400;8:5;0;0;DIA;0;0;6380;132;9:5;6644;88;9;5;0;0;
202;15;10/2/22;8:11;24;15;28;39;60838;410;3164;8:24;24;528;96;516;30422;516;8:43;0;0;DIT;0;0;6248;0;9:39;6292;0;9;38;0;0;
202;15;10/2/22;8:26;25;15;28;39;60531;411;3148;8:46;25;526;95;505;30271;505;9:4;0;0;DIT;0;0;6776;44;10:0;6776;44;10;0;0;0;
202;15;10/2/22;8:48;26;15;28;39;60503;406;3147;9:7;26;528;94;484;30251;484;9:27;0;0;DIT;0;0;6864;65492;10:23;6908;0;10;23;0;0;
202;15;10/2/22;10:57;27;15;28;39;61307;408;3188;11:10;45;961;75;513;30653;513;11:24;0;0;DIT;0;0;6028;44;12:26;6028;44;12;26;0;0;
