HORA;Tª HORNO CALIENTE;CANAL DE AIRE;Tª HORNO FRIO;INFR. SX;INFR. DX;
0:00:02;35;61,5;30;325;326;
0:01:01;35;61,5;30;327;326;
0:02:01;35;61,5;30;326;325;
0:03:01;35;61,5;30;326;325;
0:04:01;35;61,5;30;326;325;
0:05:01;35;61,5;30;325;324;
0:06:01;35;61,5;30;325;325;
0:07:01;35;61,5;30;325;325;
0:08:01;35;61,5;30;326;323;
0:09:01;35;61,5;30;324;323;
0:10:01;35;61,5;30;324;323;
0:11:01;35;61,4;30;325;323;
0:12:01;35;61,4;30;325;323;
0:13:01;35;61,4;30;324;323;
0:14:01;35;61,4;30;325;323;
0:15:01;35;61,4;30;324;320;
0:16:01;35;61,3;30;324;320;
0:17:01;35;61,3;30;322;320;
0:18:01;35;61,3;30;322;320;
0:19:01;35;61,3;30;322;321;
0:20:02;35;61,3;30;322;322;
0:21:01;35;61,3;30;322;320;
0:22:01;35;61,2;30;320;320;
0:23:01;35;61,3;30;322;320;
0:24:01;35;61,2;30;321;320;
0:25:01;35;61,2;30;319;320;
0:26:01;35;61,2;30;320;320;
0:27:01;35;61,2;30;319;320;
0:28:01;35;61,1;30;318;319;
0:29:01;35;61,1;30;319;319;
0:30:01;35;61,1;30;320;320;
0:31:01;35;61,1;30;318;319;
0:32:01;35;61,1;30;320;320;
0:33:01;35;61,1;30;318;318;
0:34:01;35;61,1;30;318;318;
0:35:01;35;61;30;318;319;
0:36:01;35;61;30;316;315;
0:37:01;35;61;30;318;317;
0:38:01;35;60,9;30;317;315;
0:39:01;35;60,9;30;317;318;
0:40:01;35;60,9;30;316;317;
0:41:01;35;60,9;30;319;316;
0:42:01;35;60,8;30;316;316;
0:43:01;35;60,8;30;316;315;
0:44:01;35;60,8;30;316;316;
0:45:01;35;60,7;30;316;315;
0:46:01;35;60,7;30;316;315;
0:47:01;35;60,7;30;317;315;
0:48:01;35;60,7;30;315;316;
0:49:01;35;60,7;30;315;315;
0:50:01;35;60,6;30;315;316;
0:51:01;35;60,6;30;315;315;
0:52:01;35;60,6;30;315;316;
0:53:01;35;60,6;30;315;313;
0:54:01;35;60,5;30;315;315;
0:55:01;35;60,5;30;315;313;
0:56:01;35;60,5;30;315;314;
0:57:01;35;60,5;30;315;313;
0:58:01;35;60,5;30;315;314;
0:59:01;35;60,4;30;315;313;
1:00:01;35;60,4;30;315;314;
1:01:01;35;60,4;29;315;313;
1:02:01;35;60,4;29;313;314;
1:03:01;35;60,4;29;313;313;
1:04:01;35;60,3;29;314;313;
1:05:01;35;60,3;29;314;313;
1:06:01;35;60,3;29;315;313;
1:07:01;35;60,3;29;313;313;
1:08:01;35;60,3;29;315;313;
1:09:01;35;60,3;29;315;312;
1:10:01;35;60,2;29;311;311;
1:11:01;35;60,2;29;311;312;
1:12:01;35;60,2;29;312;310;
1:13:01;35;60,2;29;313;310;
1:14:01;35;60,1;29;311;311;
1:15:01;35;60,1;29;310;311;
1:16:01;35;60,1;29;312;311;
1:17:01;35;60,1;29;311;311;
1:18:01;35;60;29;311;310;
1:19:01;35;60;29;311;310;
1:20:01;35;60;29;310;309;
1:21:01;35;59,9;29;310;310;
1:22:01;35;59,9;29;310;310;
1:23:01;35;59,8;29;310;310;
1:24:01;35;59,8;29;309;309;
1:25:01;35;59,8;29;309;309;
1:26:01;35;59,7;29;309;308;
1:27:01;35;59,7;28;309;308;
1:28:01;35;59,7;28;309;308;
1:29:01;35;59,6;28;308;308;
1:30:01;35;59,6;28;309;308;
1:31:01;35;59,5;28;309;308;
1:32:01;35;59,5;28;308;308;
1:33:01;35;59,4;28;309;307;
1:34:01;35;59,4;28;310;309;
1:35:01;35;59,3;28;309;308;
1:36:01;35;59,3;28;309;308;
1:37:01;35;59,2;28;309;308;
1:38:01;35;59,2;28;309;308;
1:39:01;35;59,2;28;310;308;
1:40:01;35;59,1;28;309;308;
