TIPO;NUMERO DE ESTACION;DIA INICIO/MES INICIO/AÑO INICIO;HORA INICIO:MINUTO INICIO;NUMERO DE MEZCLA;NUMERO DE PREMEZCLA;NUMERO DE BATCH;NUMERO RECETA;PESADA DE CORCHO;MINUTOS PESADA;PESADA D.U;TIEMPO VACIADO (1):TIEMPO VACIADO (2);TIEMPO INYECCION AGUA (s);PESADA INYECCION AGUA;TIEMPO MEZCLA AGUA;TIEMPO INYECCION COLA;PESADA INYECCION COLA;TIEMPO MEZCLA COLA;TIEMPO VACIADO MEZC. MED(1):TIEMPO VACIADO MEZC. MED(2);MOLDE INICIAL EXT1;MOLDE FINAL EXT1;NOMBRE RECETA;MOLDE INICIAL EXT2;MOLDE FINAL EXT2;TAPONES BUENOS G1;TAPONES MALOS G1;TIEMPO EXTRACC. G1 (1):TIEMPO EXTRACC. G1 (2);TAPONES BUENOS G2;TAPONES MALOS G2;TIEMPO EXTRACC. G2 (1):TIEMPO EXTRACC. G2 (2);TAPONES BUENOS DESC G1;TAPONES BUENOS DESC G2;
202;15;17/1/22;22:35;63;15;28;41;66595;434;4462;22:51;72;1025;18;305;21314;400;23:8;0;0;DIA;0;0;5984;0;0:1;5984;0;0;0;0;0;
202;15;17/1/22;22:54;64;15;28;41;66601;440;4330;23:11;70;1026;20;310;21314;400;23:27;0;0;DIA;0;0;5940;0;0:20;5940;0;0;20;0;0;
202;15;17/1/22;23:13;65;15;28;41;66453;437;4519;23:30;73;1023;17;326;21264;400;23:46;0;0;DIA;0;0;5940;0;0:39;5940;0;0;39;0;0;
202;15;17/1/22;23:32;66;15;28;41;66511;437;4457;23:49;72;1025;18;319;21284;400;0:6;0;0;DIA;0;0;5984;0;0:58;5984;0;0;58;0;0;
202;15;18/1/22;0:11;1;15;28;41;66253;438;4506;0:28;67;1021;23;322;21204;400;0:44;0;0;DIA;0;0;5808;44;1:37;5808;44;1;36;0;0;
202;15;18/1/22;0:30;2;15;28;41;66238;433;4439;0:47;70;1020;20;323;21204;400;1:3;0;0;DIA;0;0;6072;0;1:56;6072;44;1;56;0;0;
202;15;18/1/22;0:49;3;15;28;41;66552;433;4459;1:6;72;1026;18;309;21304;400;1:23;0;0;DIA;0;0;6028;65492;2:16;6028;0;2;16;0;0;
202;15;18/1/22;1:8;4;15;28;41;65539;431;4392;1:26;85;1206;5;313;20972;400;1:42;0;0;DIA;0;0;5764;44;2:34;5764;44;2;34;0;0;
202;15;18/1/22;1:28;5;15;28;41;66427;436;4385;1:45;85;1222;5;319;21264;400;2:1;0;0;DIA;0;0;6116;65492;2:54;6116;0;2;54;0;0;
202;15;18/1/22;1:47;6;15;28;41;66354;438;4446;2:4;85;1222;5;325;21234;400;2:21;0;0;DIA;0;0;5984;0;3:14;5984;0;3;14;0;0;
202;15;18/1/22;2:6;7;15;28;41;67171;435;4501;2:24;87;1236;3;328;21495;400;2:40;0;0;DIA;0;0;6116;0;3:33;6116;0;3;33;0;0;
202;15;18/1/22;2:26;8;15;28;41;66570;433;4527;2:43;85;1225;5;310;21304;400;3:0;0;0;DIA;0;0;5984;0;3:53;5984;0;3;53;0;0;
202;15;18/1/22;2:45;9;15;28;41;66366;434;4513;3:3;85;1221;5;312;21244;400;3:19;0;0;DIA;0;0;5984;0;4:12;5984;0;4;12;0;0;
202;15;18/1/22;3:5;10;15;28;41;66617;433;4464;3:22;86;1227;4;336;21324;400;3:39;0;0;DIA;0;0;5984;44;4:32;5984;44;4;31;0;0;
202;15;18/1/22;3:25;11;15;28;41;66322;431;4510;3:42;83;1221;7;338;21224;400;3:58;0;0;DIA;0;0;5896;0;4:51;5896;44;4;51;0;0;
202;15;18/1/22;3:44;12;15;28;41;66253;439;4506;4:1;84;1219;6;322;21204;400;4:17;0;0;DIA;0;0;6072;65492;5:10;6072;0;5;10;0;0;
202;15;18/1/22;4:3;13;15;28;41;65477;438;4453;4:20;85;1205;5;322;20952;400;4:37;0;0;DIA;0;0;5984;0;5:30;5984;0;5;30;0;0;
202;15;18/1/22;4:22;14;15;28;41;66310;429;4510;4:40;87;1221;3;326;21224;400;4:56;0;0;DIA;0;0;5896;44;5:49;5896;44;5;49;0;0;
202;15;18/1/22;4:42;15;15;28;41;66358;428;4513;4:59;88;1221;2;338;21234;400;5:16;0;0;DIA;0;0;5896;0;6:8;5896;44;6;8;0;0;
202;15;18/1/22;4:42;15;15;28;41;66358;428;4513;4:59;88;1221;2;338;21234;400;5:16;0;0;DIA;0;0;5896;0;6:8;5896;44;6;8;0;0;
