TIPO;NUMERO DE ESTACION;DIA INICIO/MES INICIO/AÑO INICIO;HORA INICIO:MINUTO INICIO;NUMERO DE MEZCLA;NUMERO DE PREMEZCLA;NUMERO DE BATCH;NUMERO RECETA;PESADA DE CORCHO;MINUTOS PESADA;PESADA D.U;TIEMPO VACIADO (1):TIEMPO VACIADO (2);TIEMPO INYECCION AGUA (s);PESADA INYECCION AGUA;TIEMPO MEZCLA AGUA;TIEMPO INYECCION COLA;PESADA INYECCION COLA;TIEMPO MEZCLA COLA;TIEMPO VACIADO MEZC. MED(1):TIEMPO VACIADO MEZC. MED(2);MOLDE INICIAL EXT1;MOLDE FINAL EXT1;NOMBRE RECETA;MOLDE INICIAL EXT2;MOLDE FINAL EXT2;TAPONES BUENOS G1;TAPONES MALOS G1;TIEMPO EXTRACC. G1 (1):TIEMPO EXTRACC. G1 (2);TAPONES BUENOS G2;TAPONES MALOS G2;TIEMPO EXTRACC. G2 (1):TIEMPO EXTRACC. G2 (2);TAPONES BUENOS DESC G1;TAPONES BUENOS DESC G2;
202;10;24/5/22;23:0;34;10;278;43;55829;440;3294;23:18;15;650;105;295;27929;300;23:37;11;146;DIF;11;146;5984;0;0:0;5984;0;0;0;0;0;
202;10;24/5/22;23:20;35;10;278;43;55921;436;3300;23:38;15;664;105;304;27985;304;23:57;147;49;DIF;147;49;6116;0;0:0;6160;0;0;0;0;0;
202;10;25/5/22;0:0;1;10;278;43;55772;448;3291;0:18;15;646;105;297;27901;300;0:37;189;94;DIF;189;94;6292;44;0:0;6292;44;0;0;0;0;
202;10;25/5/22;0:20;2;10;278;43;55970;446;3415;0:38;15;674;105;312;27985;312;0:58;94;5;DIF;94;5;6512;65492;0:0;6556;0;0;0;0;0;
202;10;25/5/22;0:40;3;10;278;43;55710;446;3287;0:59;16;677;104;319;27873;319;1:19;6;150;DIF;6;150;6380;0;0:0;6380;0;0;0;0;0;
202;10;25/5/22;1:1;4;10;278;43;55636;445;3394;1:20;15;664;105;306;27845;306;1:40;151;60;DIF;151;60;6424;0;0:0;6468;0;0;0;0;0;
202;10;25/5/22;1:22;5;10;278;43;55906;440;3299;1:41;16;671;104;330;27957;330;2:1;61;203;DIF;61;203;6160;0;0:0;6204;0;0;0;0;0;
202;10;25/5/22;1:43;6;10;278;43;56158;443;3314;2:2;15;671;105;329;28097;329;2:21;204;116;DIF;204;116;6688;0;0:0;6688;0;0;0;0;0;
202;10;25/5/22;2:4;7;10;278;43;56176;442;3315;2:23;15;655;104;370;28097;370;2:43;117;24;DIF;117;24;6292;44;0:0;6336;44;0;0;0;0;
202;10;25/5/22;2:24;8;10;278;43;55726;424;3400;2:44;15;662;105;368;27873;368;3:4;24;162;DIF;24;163;6116;65492;0:0;6160;0;0;0;0;0;
202;10;25/5/22;2:46;9;10;278;43;55704;426;3287;3:5;15;650;105;362;27873;362;3:24;165;73;DIF;164;73;6468;0;0:0;6468;0;0;0;0;0;
202;10;25/5/22;3:7;10;10;278;43;55812;426;3293;3:25;15;666;105;407;27929;407;3:45;74;215;DIF;74;215;6116;0;0:0;6160;0;0;0;0;0;
