TIPO;NUMERO DE ESTACION;DIA INICIO/MES INICIO/AÑO INICIO;HORA INICIO:MINUTO INICIO;NUMERO DE MEZCLA;NUMERO DE PREMEZCLA;NUMERO DE BATCH;NUMERO RECETA;PESADA DE CORCHO;MINUTOS PESADA;PESADA D.U;TIEMPO VACIADO (1):TIEMPO VACIADO (2);TIEMPO INYECCION AGUA (s);PESADA INYECCION AGUA;TIEMPO MEZCLA AGUA;TIEMPO INYECCION COLA;PESADA INYECCION COLA;TIEMPO MEZCLA COLA;TIEMPO VACIADO MEZC. MED(1):TIEMPO VACIADO MEZC. MED(2);MOLDE INICIAL EXT1;MOLDE FINAL EXT1;NOMBRE RECETA;MOLDE INICIAL EXT2;MOLDE FINAL EXT2;TAPONES BUENOS G1;TAPONES MALOS G1;TIEMPO EXTRACC. G1 (1):TIEMPO EXTRACC. G1 (2);TAPONES BUENOS G2;TAPONES MALOS G2;TIEMPO EXTRACC. G2 (1):TIEMPO EXTRACC. G2 (2);TAPONES BUENOS DESC G1;TAPONES BUENOS DESC G2;
202;10;1/3/22;4:53;15;10;147;39;36338;971;1890;5:14;14;677;106;193;18179;400;5:30;225;189;DIT;224;189;4532;572;19:14;4708;616;19;14;0;0;
202;10;1/3/22;19:6;16;10;147;38;64666;498;3751;19:20;22;1147;98;267;18123;400;19:30;60;154;DIL;58;154;4180;0;0:0;4268;0;0;0;0;0;
202;10;1/3/22;19:22;17;10;147;38;64905;499;3830;19:37;23;1160;97;246;18179;400;19:47;155;34;DIL;155;34;5104;0;0:0;5104;44;0;0;0;0;
202;10;1/3/22;19:39;18;10;147;38;64927;498;3831;19:53;22;1135;98;219;18179;582;20:10;35;167;DIL;34;167;5764;0;0:0;5852;0;0;0;0;0;
202;10;1/3/22;19:55;19;10;147;38;64916;494;3766;20:11;22;1171;98;204;18179;400;20:32;168;59;DIL;168;59;5720;0;0:0;5720;0;0;0;0;0;
202;10;1/3/22;20:13;20;10;147;38;65354;492;3791;20:33;23;1155;97;200;18319;400;20:52;60;194;DIL;60;194;5808;0;0:0;5852;0;0;0;0;0;
202;10;1/3/22;20:35;21;10;147;38;65411;483;3925;20:53;23;1152;97;188;18319;400;21:13;195;81;DIL;195;81;5544;0;0:0;5544;0;0;0;0;0;
202;10;1/3/22;20:55;22;10;147;38;65502;498;3800;21:14;23;1149;97;206;18347;626;21:37;82;226;DIL;82;226;6248;0;0:0;6248;44;0;0;0;0;
202;10;1/3/22;21:16;23;10;147;38;65340;491;3790;21:39;24;1179;96;180;18319;400;21:59;227;119;DIL;226;119;5808;0;0:0;5808;44;0;0;0;0;
202;10;1/3/22;21:41;24;10;147;38;65447;497;3796;22:1;23;1162;97;181;18347;400;22:19;120;18;DIL;119;18;5940;0;0:0;5984;44;0;0;0;0;
202;10;1/3/22;22:3;25;10;147;38;65724;492;3812;22:21;23;1187;97;174;18404;400;22:40;19;158;DIL;18;158;6160;0;0:0;6204;0;0;0;0;0;
202;10;1/3/22;22:23;26;10;147;38;65484;490;3799;22:42;23;1162;97;178;18347;400;23:2;159;49;DIL;159;49;5588;0;0:0;5588;44;0;0;0;0;
202;10;1/3/22;22:44;27;10;147;38;65542;483;3802;23:3;23;1160;97;177;18376;400;23:22;50;184;DIL;49;184;5852;0;0:0;5940;0;0;0;0;0;
