TIPO;NUMERO DE ESTACION;DIA INICIO/MES INICIO/AÑO INICIO;HORA INICIO:MINUTO INICIO;NUMERO DE MEZCLA;NUMERO DE PREMEZCLA;NUMERO DE BATCH;NUMERO RECETA;PESADA DE CORCHO;MINUTOS PESADA;PESADA D.U;TIEMPO VACIADO (1):TIEMPO VACIADO (2);TIEMPO INYECCION AGUA (s);PESADA INYECCION AGUA;TIEMPO MEZCLA AGUA;TIEMPO INYECCION COLA;PESADA INYECCION COLA;TIEMPO MEZCLA COLA;TIEMPO VACIADO MEZC. MED(1):TIEMPO VACIADO MEZC. MED(2);MOLDE INICIAL EXT1;MOLDE FINAL EXT1;NOMBRE RECETA;MOLDE INICIAL EXT2;MOLDE FINAL EXT2;TAPONES BUENOS G1;TAPONES MALOS G1;TIEMPO EXTRACC. G1 (1):TIEMPO EXTRACC. G1 (2);TAPONES BUENOS G2;TAPONES MALOS G2;TIEMPO EXTRACC. G2 (1):TIEMPO EXTRACC. G2 (2);TAPONES BUENOS DESC G1;TAPONES BUENOS DESC G2;
202;10;17/2/22;22:55;59;10;133;66;60683;423;3035;23:15;30;1625;90;276;30345;350;23:35;189;102;DVT;189;102;6688;0;0:0;6644;44;0;0;0;0;
202;10;18/2/22;0:12;1;10;134;41;65017;478;4162;0:27;16;771;104;206;20820;400;0:42;165;39;DIA;163;39;4972;0;0:0;5016;0;0;0;0;0;
202;10;18/2/22;0:30;2;10;134;41;65551;470;4130;0:45;15;781;105;209;20989;491;1:1;40;183;DIA;40;183;6248;0;0:0;6292;0;0;0;0;0;
202;10;18/2/22;0:47;3;10;134;41;65525;484;4194;1:3;16;777;104;259;20989;400;1:22;184;79;DIA;184;79;5896;0;0:0;5896;0;0;0;0;0;
202;10;18/2/22;1:5;4;10;134;41;65523;479;4194;1:24;16;781;104;234;20989;400;1:42;80;211;DIA;80;211;5676;0;0:0;5720;0;0;0;0;0;
202;10;18/2/22;1:26;5;10;134;41;65616;480;4134;1:44;16;781;104;227;21017;400;2:2;212;110;DIA;212;110;6072;0;0:0;6072;0;0;0;0;0;
202;10;18/2/22;1:46;6;10;134;41;65677;492;4204;2:3;16;794;104;199;21017;400;2:22;111;8;DIA;111;7;5852;44;0:0;5896;0;0;0;0;0;
202;10;18/2/22;2:6;7;10;134;41;65604;491;4199;2:24;16;799;104;199;21017;408;2:42;8;150;DIA;8;150;6292;65492;0:0;6292;0;0;0;0;0;
202;10;18/2/22;2:26;8;10;134;41;65597;502;4199;2:44;18;919;102;215;21017;400;3:4;151;52;DIA;151;52;6028;44;0:0;6072;44;0;0;0;0;
202;10;18/2/22;2:46;9;10;134;41;65421;498;4187;3:5;18;904;102;206;20961;426;3:24;52;195;DIA;52;195;6204;65492;0:0;6248;0;0;0;0;0;
202;10;18/2/22;3:8;10;10;134;41;65638;504;4201;3:26;18;930;102;195;21017;424;3:45;196;98;DIA;196;98;6248;0;0:0;6204;44;0;0;0;0;
202;10;18/2/22;3:28;11;10;134;41;65589;504;4133;3:47;18;924;102;227;20989;404;4:6;99;1;DIA;98;1;6072;44;0:0;6160;44;0;0;0;0;
202;10;18/2/22;3:49;12;10;134;41;65589;501;4198;4:8;18;896;102;222;20989;400;4:27;1;139;DIA;1;139;6116;65492;0:0;6072;44;0;0;0;0;
202;10;18/2/22;4:10;13;10;134;41;65557;495;4131;4:29;18;894;102;198;20989;400;4:47;140;37;DIA;139;37;5896;0;0:0;5940;44;0;0;0;0;
202;10;18/2/22;4:31;14;10;134;41;65727;487;4207;4:49;17;901;103;196;21045;400;5:7;38;172;DIA;37;172;5852;0;0:0;5940;0;0;0;0;0;
