TIPO;NUMERO DE ESTACION;DIA INICIO/MES INICIO/AÑO INICIO;HORA INICIO:MINUTO INICIO;NUMERO DE MEZCLA;NUMERO DE PREMEZCLA;NUMERO DE BATCH;NUMERO RECETA;PESADA DE CORCHO;MINUTOS PESADA;PESADA D.U;TIEMPO VACIADO (1):TIEMPO VACIADO (2);TIEMPO INYECCION AGUA (s);PESADA INYECCION AGUA;TIEMPO MEZCLA AGUA;TIEMPO INYECCION COLA;PESADA INYECCION COLA;TIEMPO MEZCLA COLA;TIEMPO VACIADO MEZC. MED(1):TIEMPO VACIADO MEZC. MED(2);MOLDE INICIAL EXT1;MOLDE FINAL EXT1;NOMBRE RECETA;MOLDE INICIAL EXT2;MOLDE FINAL EXT2;TAPONES BUENOS G1;TAPONES MALOS G1;TIEMPO EXTRACC. G1 (1):TIEMPO EXTRACC. G1 (2);TAPONES BUENOS G2;TAPONES MALOS G2;TIEMPO EXTRACC. G2 (1):TIEMPO EXTRACC. G2 (2);TAPONES BUENOS DESC G1;TAPONES BUENOS DESC G2;
202;10;20/3/22;23:4;57;10;178;38;65338;501;3855;23:22;22;1111;98;299;18319;961;23:50;14;154;DIL;14;154;6160;44;0:0;6160;44;0;0;0;0;
202;10;20/3/22;23:24;58;10;178;38;65272;496;3786;23:51;22;1107;98;332;18291;400;0:10;154;54;DIL;154;54;6028;65492;0:0;6072;0;0;0;0;0;
202;10;21/3/22;0:14;1;10;178;38;65335;489;3790;0:31;22;1101;98;311;18319;410;0:50;195;94;DIL;195;94;6116;65492;0:0;6116;0;0;0;0;0;
202;10;21/3/22;0:34;2;10;178;38;65386;489;3793;0:51;22;1101;98;317;18319;400;1:10;95;232;DIL;95;232;5896;44;0:0;5940;44;0;0;0;0;
202;10;21/3/22;0:54;3;10;178;38;65396;492;3793;1:11;22;1096;98;330;18319;400;1:29;232;126;DIL;232;126;5896;65492;0:0;5896;0;0;0;0;0;
202;10;21/3/22;1:13;4;10;178;38;65445;486;3862;1:31;23;1118;97;335;18347;410;1:50;127;25;DIL;127;25;5940;0;0:0;5984;0;0;0;0;0;
202;10;21/3/22;1:34;5;10;178;38;65582;482;3870;1:51;22;1083;98;321;18376;400;2:10;26;154;DIL;26;154;5676;0;0:0;5676;0;0;0;0;0;
202;10;21/3/22;1:56;6;10;178;38;65457;488;3862;2:12;22;1100;98;316;18347;400;2:30;155;30;DIL;155;30;4928;0;0:0;4972;0;0;0;0;0;
202;10;21/3/22;2:14;7;10;178;38;65713;487;3812;2:31;22;1098;98;326;18404;713;2:55;31;187;DIL;31;187;6820;0;0:0;6864;0;0;0;0;0;
202;10;21/3/22;2:34;8;10;178;38;65475;488;3798;2:57;22;1118;98;298;18347;400;3:19;188;84;DIL;188;84;5940;0;0:0;5940;0;0;0;0;0;
202;10;21/3/22;3:2;9;10;178;38;65573;494;3869;3:21;22;1083;98;325;18376;400;3:40;85;217;DIL;85;217;5720;0;0:0;5764;0;0;0;0;0;
202;10;21/3/22;3:23;10;10;178;38;65500;490;3865;3:41;23;1118;97;302;18347;400;4:0;218;117;DIL;218;117;6116;0;0:0;6072;44;0;0;0;0;
202;10;21/3/22;3:51;11;10;178;38;65804;507;3883;4:5;22;1098;98;309;18432;400;4:21;118;17;DIL;117;17;5984;0;0:0;6072;0;0;0;0;0;
202;10;21/3/22;4:8;12;10;178;38;65546;489;3802;4:22;22;1091;98;329;18376;400;4:41;18;156;DIL;18;156;6072;44;0:0;6072;44;0;0;0;0;
202;10;21/3/22;4:25;13;10;178;38;65418;495;3795;4:43;22;1084;98;316;18319;400;5:1;156;52;DIL;156;52;5764;65492;0:0;5896;0;0;0;0;0;
202;10;21/3/22;4:46;14;10;178;38;65552;492;3868;5:3;22;1081;98;315;18376;400;5:20;53;192;DIL;53;191;5984;44;0:0;6072;0;0;0;0;0;
202;10;21/3/22;5:5;15;10;178;38;65588;487;3870;5:22;22;1098;98;320;18376;400;5:40;192;91;DIL;193;91;6116;65492;0:0;6072;0;0;0;0;0;
202;10;21/3/22;5:25;16;10;178;38;65573;497;3869;5:42;22;1107;98;315;18376;400;6:0;92;228;DIL;92;228;5896;0;0:0;5940;0;0;0;0;0;
202;10;21/3/22;5:47;17;10;178;38;65502;620;3800;6:3;22;1116;98;301;18347;400;6:19;229;131;DIL;229;131;6248;0;0:0;6248;0;0;0;0;0;
202;10;21/3/22;6:8;18;10;178;38;65644;489;3808;6:23;21;1098;99;310;18404;400;6:40;132;39;DIL;132;52;6336;0;0:0;6952;0;0;0;0;0;
202;10;21/3/22;6:29;19;10;178;38;65478;493;3864;6:43;183;1085;79;319;18347;400;7:17;159;59;DIL;158;58;6028;0;0:0;6072;0;0;0;0;0;
202;10;21/3/22;6:47;20;10;178;38;65206;1700;3848;7:21;22;1081;45;308;18263;402;7:38;65;201;DIL;64;205;5896;0;0:0;6160;0;0;0;0;0;
202;10;21/3/22;7:46;21;10;178;38;64400;480;3736;8:0;22;1101;98;363;18038;400;8:10;53;184;DIL;52;184;5676;44;0:0;5764;44;0;0;0;0;
202;10;21/3/22;8:2;22;10;178;38;65739;492;3879;8:17;22;1094;98;421;18432;529;8:29;184;89;DIL;184;90;6336;65492;0:0;6380;0;0;0;0;0;
202;10;21/3/22;8:19;23;10;178;38;65434;622;3861;8:36;22;1096;248;310;18347;400;8:54;117;17;DIL;116;18;6028;0;0:0;6160;0;0;0;0;0;
202;10;21/3/22;8:46;24;10;178;38;65586;494;3870;9:0;21;1084;217;303;18376;400;9:14;22;89;DIL;21;184;6072;396;10:36;6116;352;10;36;0;0;
202;10;21/3/22;11:41;25;10;178;38;64576;490;3810;11:55;26;1058;94;503;18095;503;12:19;159;35;DIL;157;35;4972;0;0:0;5104;0;0;0;0;0;
202;10;21/3/22;11:57;26;10;178;38;65227;489;3784;12:20;26;1078;94;375;18263;400;12:36;36;177;DIL;36;177;6160;0;0:0;6204;0;0;0;0;0;
202;10;21/3/22;12:22;27;10;178;38;65480;516;3798;12:37;27;1073;93;365;18347;400;12:57;178;86;DIL;178;86;6468;0;0:0;6468;0;0;0;0;0;
202;10;21/3/22;12:39;28;10;178;38;65707;503;3812;12:59;26;1069;94;349;18404;400;13:19;87;220;DIL;87;220;5720;44;0:0;5764;44;0;0;0;0;
202;10;21/3/22;13:1;29;10;178;38;65400;505;3794;13:20;26;1070;94;340;18319;400;13:38;220;121;DIL;220;121;6204;65492;0:0;6204;0;0;0;0;0;
202;10;21/3/22;13:22;30;10;178;38;65474;494;3864;13:39;26;1064;94;350;18347;400;13:58;122;19;DIL;122;19;5896;0;0:0;5940;0;0;0;0;0;
202;10;21/3/22;13:41;31;10;178;38;65431;486;3796;13:59;27;1086;93;348;18347;400;14:17;20;157;DIL;20;157;6028;44;0:0;6028;44;0;0;0;0;
202;10;21/3/22;14:1;32;10;178;38;65398;495;3859;14:19;26;1060;94;349;18319;400;14:37;157;56;DIL;157;56;5940;65492;0:0;5984;0;0;0;0;0;
202;10;21/3/22;14:21;33;10;178;38;65550;477;3868;14:38;27;1087;93;364;18376;400;14:58;57;193;DIL;57;193;5896;0;0:0;5896;44;0;0;0;0;
202;10;21/3/22;14:40;34;10;178;38;65435;475;3861;15:0;26;1088;94;357;18347;400;15:18;194;89;DIL;193;89;5896;44;0:0;5940;44;0;0;0;0;
202;10;21/3/22;15:2;35;10;179;38;65501;469;3800;15:19;26;1080;94;341;18347;400;15:37;89;224;DIL;89;223;5808;0;0:0;5852;0;0;0;0;0;
202;10;21/3/22;15:21;36;10;179;38;65548;760;3802;15:40;26;1069;94;334;18376;400;15:56;224;121;DIL;224;121;6028;65492;0:0;6028;0;0;0;0;0;
202;10;21/3/22;15:42;37;10;179;38;65443;497;3862;15:58;25;1063;95;325;18347;400;16:16;122;22;DIL;122;22;6028;0;0:0;6072;0;0;0;0;0;
202;10;21/3/22;16:0;38;10;179;38;65401;502;3794;16:17;25;1081;95;324;18319;400;16:36;23;157;DIL;23;157;5940;0;0:0;5940;0;0;0;0;0;
202;10;21/3/22;16:19;39;10;179;38;65393;491;3793;16:37;24;1068;96;308;18319;400;16:55;158;57;DIL;158;57;5984;0;0:0;6028;0;0;0;0;0;
202;10;21/3/22;16:39;40;10;179;38;65241;500;3980;16:56;25;1069;95;316;18291;400;17:15;58;197;DIL;58;197;5984;44;0:0;6028;44;0;0;0;0;
202;10;21/3/22;16:58;41;10;179;38;65217;496;4044;17:16;25;1062;95;309;18263;400;17:35;197;96;DIL;197;96;6072;0;0:0;6072;44;0;0;0;0;
202;10;21/3/22;17:18;42;10;179;38;65374;492;3792;17:36;25;1068;95;294;18319;400;17:54;96;235;DIL;96;235;6028;65492;0:0;6072;0;0;0;0;0;
202;10;21/3/22;17:38;43;10;179;38;65351;501;3791;17:56;26;1084;94;299;18319;400;18:14;236;137;DIL;236;137;6204;0;0:0;6204;0;0;0;0;0;
202;10;21/3/22;17:58;44;10;179;38;65316;493;3789;18:16;25;1069;95;316;18291;400;18:34;138;38;DIL;138;38;5984;44;0:0;6028;44;0;0;0;0;
202;10;21/3/22;18:18;45;10;179;38;65331;497;3986;18:36;26;1090;94;295;18319;400;18:54;38;181;DIL;38;180;6204;0;0:0;6248;0;0;0;0;0;
